t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
10320933064.0,7.29771467529,0.0,10320935097,655.169541966,525.145843747,646.093537055,493.583765539,650.6315395105,509.36480464299996,647.29771467529,512.0,15.322495642528507,4.249546164170712,18.455561098588436,0.0,0.0,0.0,1,0,1,0,-1,0
10320951107,14.7289173262,0,10320955101,657.050738084,530.093924802,642.202714864,496.365680663,649.626726474,513.2298027324999,654.7289173262,512.0,18.2422851192437,5.248310799975338,20.033414318465983,1.3228756139972882e-08,9.979700508775264e-09,1.19528386239459e-08,1,0,-1,0,-1,0
10320966082,21.6672828269,0,10320967104,657.389995437,533.401347938,641.662053022,499.378285184,649.5260242295001,516.389816561,661.6672828269,512.0,21.824593489435994,12.910486039191795,23.654109673443465,2.307719043704738e-08,2.1944706787165626e-08,2.1244483418666432e-08,-1,0,-1,0,-1,0
10320984129,28.983813376,0,10320987109,661.38430622,533.469019088,645.147736168,499.161601421,653.266021194,516.3153102545,668.983813376,512.0,22.774355964878616,16.299413905693996,27.073659795805245,9.982218217650656e-09,9.347173401965965e-09,8.726665144789716e-09,-1,0,-1,0,-1,0
10321002107,36.2718164217,0,10321003112,660.5053815,527.895380006,645.139556599,500.374713774,652.8224690495,514.13504689,676.2718164217,512.0,22.38846970374138,23.546344034788124,33.23198581945603,2.2032806210863966e-08,8.687851158473737e-09,4.737051285303187e-09,-1,0,-1,0,-1,0
10321017128,43.9139539227,0,10321019116,660.530528399,522.665995459,642.583986051,500.319664906,651.5572572250001,511.49283018250003,683.9139539227,512.0,25.70112932059276,32.360671229298205,42.94876566542838,2.0417309637289768e-08,1.1437706371188635e-08,9.980022551608863e-09,-1,0,-1,0,-1,0
10321032185,50.8941972308,0,10321035120,659.817613908,515.588096853,639.758286037,499.082616246,649.7879499725,507.33535654950003,690.8941972308,512.0,31.28303805651623,41.370067224755566,52.74220526929371,2.7774048006870804e-08,1.7640787996392885e-08,1.204326778422802e-08,-1,0,-1,0,-1,0
10321050147,58.1789680968,0,10321051123,659.637112708,507.856548971,639.168185671,500.141424488,649.4026491894999,503.99898672949996,698.1789680968,512.0,38.76393689037388,49.428185274207195,60.19051632673468,3.019826283636874e-08,1.311439557657244e-08,4.7331628141365554e-09,-1,0,-1,0,-1,0
10321068159,65.5046330457,0,10321071123,657.582119648,500.75649994,643.989733882,497.133035464,650.785926765,498.94476770200004,705.5046330457,512.0,49.22381114818266,56.254563436118275,63.28593408992915,1.8478651993457853e-08,1.3100235405524126e-08,1.4207773328076743e-08,-1,0,-1,0,-1,0
10321083219,72.7860312037,0,10321087121,656.133362085,503.851503326,648.826566817,494.349970175,652.479964451,499.1007367505,712.7860312037,512.0,57.235678700606705,61.670192796528575,66.35010653689213,1.3352168899572856e-08,6.64698399923588e-09,2.1803727471204263e-08,-1,0,-1,0,-1,0
10321101176,80.0903356762,0,10321103119,656.791613421,510.503881065,650.820220091,489.713364319,653.805916756,500.108622692,720.0903356762,512.0,63.31640080586244,67.34262428707233,72.76704640951552,2.6119284585980075e-08,6.507595626291999e-09,1.9719989470179347e-08,-1,0,-1,0,-1,0
10321116207,87.3904242446,0,10321119114,659.506037341,514.410313231,650.685305917,488.768254679,655.095671629,501.58928395500004,727.3904242446,512.0,67.92716389743643,73.0404974265676,80.146048987526,1.859334664398942e-08,7.675208667560783e-09,3.731591881768773e-09,-1,0,-1,0,-1,0
10321134200,94.7094843056,0,10321135108,659.068686729,514.381863019,648.516850846,495.223446706,653.7927687875,504.8026548625,734.7094843056,512.0,75.67828968380202,81.23617806904394,87.81015205047404,1.7132964356819552e-09,1.3554946574561517e-08,2.6620262422761605e-08,-1,0,-1,0,-1,0
10321152225,101.981888567,0,10321155101,722.302218864,522.668913157,719.274286201,510.158868983,720.7882525325,516.41389107,741.9818885669999,512.0,22.385600451423723,21.648386608259752,22.782119493895337,1.5954728508957976e-07,1.701046335679678e-07,1.809179624434718e-07,-1,0,-1,0,-1,0
10321167218,109.616156424,0,10321171095,734.237002975,527.449093154,722.146358987,516.211296722,728.191680981,521.830194938,749.616156424,512.0,21.798918323826506,23.572035986032063,27.790732111812755,5.0258329087391143e-08,3.5859596152174923e-08,2.6188796946064828e-08,-1,0,-1,0,-1,0
10321182238,116.578552492,0,10321183091,738.429127268,528.465832141,726.219940829,514.182183134,732.3245340485,521.3240076375,756.578552492,512.0,24.505616989930164,25.984505557770273,30.436938501353065,2.9975954197257385e-08,2.8934121686933786e-08,3.1625071034668635e-08,-1,0,-1,0,-1,0
10321200261,123.873441483,0,10321203084,746.642168854,528.99052403,733.299028665,507.229496972,739.9705987595,518.110010501,763.873441483,512.0,24.199063271724555,24.671402849994248,30.944343882293506,2.058887105232164e-08,2.074977054149914e-08,2.4823286044573235e-08,-1,0,-1,0,-1,0
