t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,sacc_l,sacc_m,sacc_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
5087005351.0,7.2976879989,0.0,5087007802,671.0061744,507.51942987900003,643.050773781,487.98285715199995,657.0284740904999,497.75114351549996,647.2976879989,512.0,24.12815442673437,17.254509818489595,24.389740280606535,0.0,0.0,0.0,0,0,0,1,0,1,0,-1,0,1,1,-1
5087020375,14.6406427665,0,5087023803,665.007372709,504.78507859900003,637.290242792,487.08839518199994,651.1488077505,495.9367368905,654.6406427665,512.0,12.630288220121242,16.43841030951554,30.358267965800287,0.00041201138851604464,0.0003845544057726146,0.00036432478168515553,0,0,0,1,0,-1,0,-1,0,1,-1,-1
5087041382,21.6274954512,0,5087043805,663.799855527,500.880361511,638.131627465,491.449205834,650.965741496,496.1647836725,661.6274954512,512.0,11.329850326680397,19.089973115223273,31.21523591578706,0.0002043377889706713,1.462031866656724e-05,0.0002220397114407318,0,0,0,1,0,-1,0,-1,0,1,-1,-1
5087053442,30.2912883743,0,5087055806,664.808081005,493.730894874,637.356336536,490.620724884,651.0822087705,492.175809879,670.2912883743,512.0,19.074217288255532,27.604116598411245,39.26556324665116,0.0006016337960129489,0.00033252843066536905,9.454724567802724e-05,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087071397,36.2108184583,0,5087071810,666.360894982,489.29230175199996,637.4013032280001,486.42724592699994,651.881099105,487.85977383949995,676.2108184583,512.0,24.751980773489418,34.27368907617666,46.47735172413571,0.000293825044433067,0.0002742658045499837,0.0002620419919445941,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087089410,43.8665922425,0,5087091815,665.268904105,486.368009781,637.96547507,485.111033321,651.6171895875,485.739521551,683.8665922425,512.0,31.66816898159125,41.58890116334786,53.197077802713444,0.00015603731500573768,0.00010680398280249917,7.158352679094958e-05,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087107428,50.8072106615,0,5087107819,662.451631747,489.363899712,640.817269949,486.234940724,651.6344508479999,487.799420218,690.8072106615,512.0,36.28266654788252,46.04533823516896,56.239065176575075,0.00025696490973525917,0.00012871600771804638,0.0001915317133969347,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087122430,58.7415142162,0,5087123822,662.248668134,492.429895565,641.140178501,489.94223893599997,651.6944233175,491.18606725049995,698.7415142162,512.0,41.409139121405886,51.44558832913913,61.68029425458093,0.0001920081502842941,0.00021165893909795975,0.00023253980087856662,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087140444,65.4106293889,0,5087143827,663.712012613,495.863538591,641.948535394,497.692245335,652.8302740035001,496.777891963,705.4106293889,512.0,44.711967389363565,54.73944049353312,65.05497073837903,0.00018657651556878952,0.00028522967573838524,0.0003895051136103364,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087155451,73.2097434087,0,5087155829,662.95180716,494.060424501,642.867312491,505.16265609199996,652.9095598255001,499.6115402965,713.2097434087,512.0,53.36373792251352,61.55961398508647,70.67394752755543,0.00016304090944041987,0.00023619041242433516,0.0006271203434413152,0,0,1,-1,0,-1,0,-1,0,-1,-1,-1
5087173475,80.0147507074,0,5087175833,661.349047519,488.83090507800006,641.594297016,505.48155799,651.4716722675,497.156231534,720.0147507074,512.0,63.07512734901208,70.13195465898907,78.69089936836878,0.00027342617269866283,0.00014223944860014534,6.560446097687027e-05,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087188477,87.6626548478,0,5087191837,663.807098422,485.70372852800006,641.826568615,504.05647939,652.8168335185001,494.88010395900005,727.6626548478,512.0,69.05813478351158,76.77882397453179,86.20286085418608,0.0002485374386913045,0.00016520254768923384,9.022015397880613e-05,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087206484,94.6202773614,0,5087207840,670.235919169,486.455995546,644.314917719,498.08692143900004,657.275418444,492.2714584925,734.6202773614,512.0,69.26645467607848,79.82131639459257,91.37084729380456,0.00040446693031203485,0.0003227930295277571,0.00040413788686895593,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087221501,102.249210009,0,5087223844,672.631051967,486.72304970199997,648.977337076,497.899462024,660.8041945215,492.311255863,742.249210009,512.0,74.06491845353274,83.79103289404758,94.33168848081914,0.00015058578511054584,0.00022050740357410778,0.0002915637575420783,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087239509,109.227068771,0,5087239847,678.692482684,489.525923326,654.21873088,495.889172491,666.4556067819999,492.70754790850003,749.227068771,512.0,74.02845369729968,84.99007958285074,96.36463579464811,0.00041730311459998716,0.0003540142315521361,0.0003507896159112267,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087254518,116.540371834,0,5087255850,680.619790305,488.414811731,657.842857509,500.11538192300003,669.231323907,494.265096827,756.540371834,512.0,79.49965915263854,89.09206833649593,99.41047973312331,0.00013901478476319176,0.00019889112813844043,0.0003478927640814563,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087272536,123.821071991,0,5087275850,746.517589462,483.231348,720.548252236,497.788079028,733.532920849,490.50971351400005,763.821071991,512.0,33.57150347435329,37.13764280148905,45.54685090391092,0.0033050674085360527,0.0032205582874398403,0.003137428432105645,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
5087287545,131.453939486,0,5087287850,754.938362424,478.196530211,729.993625218,499.644534225,742.465993821,488.92053221799995,771.453939486,512.0,37.6223185817501,37.05351301803069,43.262168157854916,0.0008175964411597534,0.0007561107076248516,0.0008021736817840433,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
5087305560,138.419010058,0,5087307849,764.168829034,474.010355587,733.499616141,499.03557739900003,748.8342225875,486.522966493,778.419010058,512.0,40.5743852922377,39.04278276444259,46.75284165960325,0.0005067934617490189,0.00034024729845131993,0.00017793304318720952,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1
5087320570,146.059466089,0,5087323847,773.127685369,476.65636850699997,741.316153227,492.583242457,757.2219192979999,484.61980548199995,786.059466089,512.0,37.635133050158736,39.76530091381986,48.77473238625166,0.0005839129554334264,0.0005376234425066996,0.0006335557078790099,1,1,1,-1,0,-1,0,-1,0,-1,-1,-1
