t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
10871404251.0,2.94928510552,-2.94903176813,10871405060,656.994485258,488.163116268,632.927598092,506.463899816,644.961041675,497.31350804199997,642.94928510552,514.94903176813,30.244882484534983,17.74989750927429,13.131324184636194,0.0,0.0,0.0,1,-1,1,-1,-1,-1
10871419257,5.1851522292,-5.18377591817,10871421055,657.300549501,486.636802702,634.672730957,490.281707838,645.9866402289999,488.45925526999997,645.1851522292,517.18377591817,32.861838410578095,28.735700260842254,28.883079267874198,6.084653574902337e-09,3.483994738135302e-08,6.361795800273436e-08,1,-1,1,-1,-1,-1
10871437303,8.13152301591,-8.12621789034,10871441051,659.183627282,475.697024762,634.811628999,481.614338502,646.9976281405,478.655681632,648.13152301591,520.12621789034,45.783208829699255,41.486034941203656,40.75026908676502,2.7762761974682846e-08,2.4648769901280246e-08,2.167987661531756e-08,1,-1,-1,-1,-1,-1
10871452280,11.0789154745,-11.0655091878,10871453051,658.487348285,474.093857829,631.57419137,481.056240891,645.0307698275001,477.57504936,651.0789154745,523.0655091878,49.52885536246068,45.89076160963131,46.31644292500438,1.2137785706465982e-08,1.5584511942185078e-08,2.2813821567788264e-08,1,-1,-1,-1,-1,-1
10871470303,14.0466510572,-14.0193576491,10871473050,654.597961417,465.233703653,631.611296879,469.223717054,643.104629148,467.2287103535,654.0466510572,526.0193576491,60.78815406677859,59.80023455553546,61.066274716156144,2.4193024628093136e-08,2.6312889293271622e-08,2.9584413408077493e-08,1,-1,-1,-1,-1,-1
10871488308,17.1290254909,-17.0796030961,10871489050,662.813695196,463.715443324,630.793416223,469.785967007,646.8035557095,466.7507051655,657.1290254909,529.0796030961,65.61088973919418,63.17837322573091,64.87911525427974,3.26361041594815e-08,1.456908018159434e-08,3.8769482586308205e-09,1,-1,-1,-1,-1,-1
10871503312,20.3601978936,-20.277346283,10871505049,662.686375064,463.801958232,635.026531821,478.274652336,648.8564534425,471.038305284,660.3601978936,532.277346283,68.51488793658739,62.310161923023635,59.649690612872085,6.013743878948037e-10,1.8571560682051434e-08,3.70578474617092e-08,1,-1,-1,-1,-1,-1
10871521324,22.9288980323,-22.8107573593,10871525048,662.543842726,465.054932922,634.293537289,477.061482355,648.4186900075,471.0582076385,662.9288980323,534.8107573592999,69.75688719055864,65.38297739340142,64.45899974729043,3.1529541040160024e-09,1.095648609627716e-09,3.543889326582373e-09,-1,-1,-1,-1,-1,-1
10871536333,25.9102653332,-25.74014907,10871537048,662.192664818,467.043943982,633.200940211,487.972173089,647.6968025145,477.5080585355,665.9102653332,537.74014907,70.79388368662352,62.92563037431069,59.55460841274314,1.40262150529943e-08,4.5070299462272544e-08,7.614764325882871e-08,-1,-1,-1,-1,-1,-1
10871554369,28.8930034273,-28.6576715446,10871557047,662.858908118,470.253284964,632.930243516,475.7908185,647.894575817,473.022051732,668.8930034273,540.6576715446,70.66249327608168,70.82027272991525,74.16892020481043,8.195234397233189e-09,1.122703336222131e-08,3.046395121396955e-08,-1,-1,-1,-1,-1,-1
10871569354,31.8908227556,-31.5752057257,10871573047,659.869330835,472.060996335,637.118797117,481.982756557,648.494063976,477.021876446,671.8908227556,543.5752057257,72.51757313075179,70.54611229262007,70.7299339856213,1.364695984901453e-08,1.5798829837156437e-08,2.9201427375232196e-08,-1,-1,-1,-1,-1,-1
