t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
5069032869.0,5.68635572576,-5.68454063182,5069034996,648.831980128,528.053827471,620.958353472,508.370533099,634.8951668,518.2121802849999,645.68635572576,517.68454063182,10.835915394333727,10.804080804726222,26.4239442889094,0.0,0.0,0.0,1,1,-1,1,-1,-1,1,-1,-1
5069047885,8.62045694675,-8.61413692955,5069050998,647.314623893,525.675325029,618.152580281,511.27766497,632.733602087,518.4764949995,648.62045694675,520.61413692955,5.22693265140082,16.03002402854934,31.866302219912704,0.00017630821592397086,0.00013608704336192252,0.0002524852930048517,-1,1,-1,-1,-1,-1,-1,-1,-1
5069065906,11.5645891483,-11.5493438156,5069067000,642.209696508,521.233692924,616.724405617,514.932154061,629.4670510625,518.0829234925,651.5645891483,523.5493438156,9.637232764819325,22.76363197299989,35.89003131457885,0.0004228665865878106,0.00020561026087564626,0.000245197029872328,-1,-1,-1,-1,-1,-1,-1,-1,-1
5069080908,14.5224549721,-14.492299051,5069083001,642.432901809,520.1358036080001,616.3612155669999,515.07930669,629.397058688,517.6075551490001,654.5224549721,526.492299051,13.658782156557802,26.650032132010512,39.831351816949564,7.001742733940908e-05,3.002896635086778e-05,2.449024960048372e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
5069098944,17.4815088699,-17.4289816037,5069099004,645.244076567,516.7657674980001,618.519917522,510.860814295,631.8819970444999,513.8132908965,657.4815088699,529.4289816037,17.60998980280396,29.986410288024327,43.159963363800856,0.0002742363437442579,0.0002834197400896263,0.00029611583003354,-1,-1,-1,-1,-1,-1,-1,-1,-1
5069113946,20.450341048,-20.3663886181,5069115008,643.487898612,528.052509064,618.263219392,508.632387509,630.875559002,518.3424482865,660.450341048,532.3663886181,17.502400126893964,32.73130971245545,48.40512413231587,0.0007137310726886715,0.0002899045178177947,0.0001401626416284634,-1,-1,-1,-1,-1,-1,-1,-1,-1
5069131967,23.4216578243,-23.2957773811,5069135015,642.392227703,519.115492409,616.847067179,509.534330186,629.619647441,514.3249112975,663.4216578243,535.2957773811,26.533724823420613,39.77880252407069,53.224474214060606,0.00045003900297413207,0.00021038964609278957,8.391983417368322e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
5069146982,26.4063193313,-26.2263119196,5069147018,639.275981706,523.113605627,622.761062711,510.74768806099996,631.0185222085,516.930646844,666.4063193313,538.2263119196,31.0555809984157,41.30135029531818,51.57502491142647,0.00042232043591306076,0.000246395355277383,0.0005029728533011839,-1,-1,-1,-1,-1,-1,-1,-1,-1
5069164989,29.3865766875,-29.1390799946,5069167020,640.409509841,519.0426204219999,622.501621936,508.977162781,631.4555658884999,514.0098916014999,669.3865766875,541.1390799946,36.44069056247541,46.634262544851914,56.85585194951056,0.00021127136310036213,0.00014764885931464202,8.946268726463911e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
5069183045,32.3892076915,-32.0587129516,5069187022,641.201409323,520.276697265,623.482977947,507.698396736,632.3421936350001,513.9875470005001,672.3892076915,544.0587129516,39.220696541391234,50.08031905349743,60.94170905972561,7.330792075937785e-05,4.4341029082681055e-05,8.058819137543994e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
