t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,sacc_l,sacc_m,sacc_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
3349772387.0,2.94567261606,-2.94542020837,3349773249,650.776202098,496.29677636300005,648.322760388,484.869487584,649.549481243,490.58313197350003,642.94567261606,514.94542020837,20.225951380317962,25.241461455710734,30.55281977384069,0.0,0.0,0.0,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1
3349787390,5.69533407944,-5.69351037696,3349789252,651.589425746,496.46115929,647.594697946,486.33173485,649.592061846,491.39644707,645.69533407944,517.69351037696,22.035268304555395,26.584206323622713,31.41923849015161,5.184473469600743e-05,5.0892268584461095e-05,0.00010207307578734306,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1
3349805403,8.64001547885,-8.6336523782,3349809256,655.315677478,490.2587672,645.981545093,482.202759062,650.6486112855,486.230763131,648.64001547885,520.6336523782,31.09980888551778,34.46147480404175,38.52273388368994,0.00036171011888445903,0.0002635785953753707,0.0002216012480854621,0,0,0,1,-1,1,-1,-1,-1,-1,-1,-1
3349823413,11.5843535392,-11.5690300115,3349825259,656.989264955,481.02464308,653.444635259,477.05110165199994,655.216950107,479.037872366,651.5843535392,523.5690300115,42.88633729744047,44.679075181484734,46.55511042771353,0.0005864249684405996,0.0005324625024474083,0.0005666736087405405,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1
3349838430,14.6737902467,-14.6426837457,3349841262,652.77347029,479.273417359,655.611901441,474.364901682,654.1926858654999,476.81915952049997,654.6737902467,526.6426837457,47.4073687727127,49.82584698371621,52.28619846682854,0.0002852623757117271,0.0001527043345510152,0.00021567704961647863,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1
3349856436,17.4971687588,-17.4445006281,3349857265,651.038901881,483.96385357400004,653.579615315,480.014865075,652.309258598,481.9893593245,657.4971687588,529.4445006281,45.936896581337464,47.7378764502692,49.58463568382158,0.000312497148391302,0.0003438460838939115,0.0003752018073605998,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3349871445,20.6077118002,-20.5218144255,3349873268,652.506474599,483.91658856199996,651.89298618,496.305199844,652.1997303895,490.110894203,660.6077118002,532.5218144255,49.275734651367294,43.23633085174941,37.250363949635286,9.175364838492085e-05,0.0005075469225551372,0.0010233965556887608,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3349889457,23.4350006133,-23.3089060621,3349893272,653.985628752,477.171372615,659.292572368,498.076345768,656.6391005600001,487.6238591915,663.4350006133,535.3089060621,58.90045351171589,48.1668760932839,37.462291144846624,0.00034520561469471463,0.00025437667161741945,0.0003803540595594318,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3349904469,26.5594893111,-26.3763528335,3349905271,656.340922696,474.856881384,662.959420176,495.992901495,659.6501714359999,485.4248914395,666.5594893111,538.3763528335,64.33616678736064,53.40033649013322,42.53607228154124,0.00027520316772955156,0.00031073752193430286,0.0003514797852091676,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3349922490,29.4094638485,-29.1613932467,3349925269,658.952975117,484.583815335,651.734282562,484.15866125300005,655.3436288395,484.371238294,669.4094638485,541.1613932467,57.53573219266847,58.506148514938836,59.680176677488305,0.0005036277201292705,0.00022170039453664478,0.0008156380556542434,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3349937498,32.5451332925,-32.209891098,3349941265,662.005270176,492.409844734,642.748069633,479.783836001,652.3766699045,486.0968403675,672.5451332924999,544.209891098,52.86145588069915,61.513360992866865,70.98296681662416,0.0005251433440353603,0.00021457115953935277,0.0006248158575172649,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3349955503,35.413772399,-34.9830410304,3349957261,660.115015861,495.887981043,640.930686755,481.338992414,650.522851308,488.6134867285,675.413772399,546.9830410304,53.33626446166815,63.45520327097572,74.15001223387443,0.0002474742075049929,0.00019540661935961318,0.00014953382982699285,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3349970519,38.5773979037,-38.022459912,3349973257,660.274722252,497.837611215,644.278202153,484.46957005300004,652.2764622024999,491.153590634,678.5773979037,550.022459912,55.3014138114038,64.4769958111334,73.98389147653033,0.00012229060449441866,0.0001929625575576842,0.00028652608698253484,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3349988522,41.4722902253,-40.7850638596,3349989253,661.297962394,498.36342233,651.084435523,486.39210078,656.1911989585001,492.377761555,681.4722902253,552.7850638596,58.04066307530475,65.48416409605909,73.01676013010447,7.192008678134558e-05,0.0002564189484764087,0.0004421447944649804,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3350003534,44.520368261,-43.6733210231,3350005249,663.871281662,496.295346862,658.575741803,485.84520507199994,661.2235117325,491.07027596699993,684.520368261,555.6733210231,62.86595734456978,68.67530090673074,74.49221046072824,0.00020638593716029317,0.00032504334046296686,0.00046957005210131354,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
