t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
7593017415.0,5.89242657929,-5.89040698452,7593019502,651.740118388,497.016626109,647.163894818,503.319091051,649.452006603,500.16785858000003,645.89242657929,517.89040698452,21.677412842147,18.076485606880276,14.626683818162737,0.0,0.0,0.0,1,-1,1,-1,1,-1,-1,-1,-1
7593032449,11.252799313,-11.2387526362,7593035501,655.47801889,496.490931956,650.656631124,499.569450166,653.067325007,498.030191061,651.252799313,523.2387526362,27.079482853518495,25.273782466913012,23.676809243126332,0.0002359326216726555,0.0002625175203195153,0.0003202922027360017,1,-1,1,-1,-1,-1,-1,-1,-1
7593049993,17.135549505,-17.0860707798,7593051498,656.053998808,498.061917301,646.72143852,496.554465281,651.387718664,497.30819129099996,657.135549505,529.0860707798,31.043000031993063,32.29351613221222,34.15785508396941,0.00010459740565273218,0.00011428471288427644,0.0003098959832611544,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593067455,23.090299241,-22.9696591754,7593067496,657.947300364,504.092928746,642.347171529,491.897216352,650.1472359464999,497.995072549,663.090299241,534.9696591754,31.302123242020848,39.17451906071848,47.80703586347315,0.00039512498580087204,8.863341770847919e-05,0.00039938618555345373,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593082469,29.0441899686,-28.8051747302,7593083493,658.405248998,510.554309797,638.282665693,487.250638448,648.3439573455,498.9024741225,669.0441899686,540.8051747302,32.06714664859688,46.73687996506603,61.7605030109033,0.00040492524941848526,0.00012619305576977284,0.0003859099915021666,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593099973,35.0508687209,-34.6330915786,7593103490,655.384514331,513.966308166,638.843816316,481.410954509,647.1141653235,497.6886313375,675.0508687209,546.6330915786,38.129833903583396,56.356184975625524,74.5981086072352,0.0002278859482928801,8.64103388847484e-05,0.00029337316634392945,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593117481,41.1008111568,-40.4315982237,7593119489,652.530407871,515.688101091,636.921300897,476.26731118,644.7258543840001,495.9777061355,681.1008111568,552.4315982237,46.54409227231727,67.15786932392356,88.05014337109793,0.00020834057438732386,0.00018363062878013227,0.00034322062492189563,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593132498,47.216528322,-46.2095497353,7593135490,651.515076122,518.762188313,633.304200935,471.955599241,642.4096385285,495.35889377700005,687.216528322,558.2095497353,53.20421047596187,77.18719017657949,101.71668014714315,0.00020232632229922142,0.00014983149674321067,0.00035172739503574557,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593150003,53.4084731505,-51.9635196274,7593151490,651.065638174,520.596944542,632.069206417,472.574756877,641.5674222955,496.5858507095,693.4084731505,563.9635196274,60.61002811816499,85.01320381305979,110.06548778092228,0.00011806256433555167,9.301275738562756e-05,8.634432427666411e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593167521,59.6492840948,-57.6553473172,7593171491,650.956627813,519.674670272,630.003841165,475.784570127,640.4802344889999,497.7296201995,699.6492840948,569.6553473172,69.77852716756146,93.1358505231121,116.88545902369638,4.643239297809039e-05,7.88976706394937e-05,0.00019083486296946254,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593184011,65.9943595045,-63.3222822519,7593187492,650.24661286,520.47666756,628.227262101,481.906306465,639.2369374805,501.19148701250003,705.9943595045,575.3222822519,78.20391746499479,99.75935143191481,121.54943838119597,6.694148219295434e-05,0.0002298829368547291,0.0003983697758748503,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593199034,72.3804078396,-68.8950778911,7593199492,662.173332912,520.917521948,655.89818492,498.503367804,659.035758916,509.710444876,712.3804078396,580.8950778911,78.21801320471735,88.95450267567463,99.89311986826783,0.000994572087599446,0.0017961493792178244,0.0026888948767022185,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593216548,78.910191571,-74.4496800612,7593219493,691.55698934,553.978007687,686.563745031,531.809666141,689.0603671855,542.893836914,718.910191571,586.4496800612,42.457121653114584,52.802684478241076,63.49664341494537,0.0022114471266294804,0.0022374172400573,0.0022635597698081925,-1,-1,-1,-1,-1,-1,-1,-1,-1
7593234055,85.5215553394,-79.9184084714,7593235494,711.299905717,561.240816796,693.169929341,539.445039328,702.2349175290001,550.342928062,725.5215553394,591.9184084714,33.813753843441894,47.65278661091232,61.64480654523842,0.0013146943442529932,0.00094585672588672,0.0006309957825440063,-1,-1,-1,-1,-1,-1,-1,-1,-1
