t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
8393053365.0,5.8900749376,-5.88805775908,8393057009,0.0,0.0,0.0,0.0,0,0,645.8900749376,517.88805775908,827.8780280164287,827.8780280164287,827.8780280164287,0,0,0.0,0,0,0,0,0,0
8393071367,11.7944910723,-11.7783196024,8393072962,0.0,0.0,0.0,0.0,0,0,651.7944910723,523.7783196024,836.1697116481274,836.1697116481274,836.1697116481274,0,0,0.0,0,0,0,0,0,0
8393086392,17.72284452,-17.6681184581,8393088915,0.0,0.0,0.0,0.0,0,0,657.72284452,529.6681184581,844.4807019194837,844.4807019194837,844.4807019194837,0,0,0.0,0,0,0,0,0,0
8393104401,23.6378522831,-23.5084729035,8393104868,0.0,0.0,0.0,0.0,0,0,663.6378522831,535.5084729035,852.7511498288139,852.7511498288139,852.7511498288139,0,0,0.0,0,0,0,0,0,0
8393119412,29.6462355375,-29.3921762572,8393120841,0.0,0.0,0.0,0.0,0,0,669.6462355375,541.3921762572,861.1222731308558,861.1222731308558,861.1222731308558,0,0,0.0,0,0,0,0,0,0
8393137418,35.6234283287,-35.1850946187,8393140815,0.0,0.0,0.0,0.0,0,0,675.6234283287,547.1850946187,869.4127585212341,869.4127585212341,869.4127585212341,0,0,0.0,0,0,0,0,0,0
8393155426,41.6844096164,-40.9867573029,8393156791,0.0,0.0,0.0,0.0,0,0,681.6844096164,552.9867573029001,877.7744517052408,877.7744517052408,877.7744517052408,0,0,0.0,0,0,0,0,0,0
8393170435,47.8156153732,-46.7706422564,8393172756,0.0,0.0,0.0,0.0,0,0,687.8156153732,558.7706422564,886.1799768663494,886.1799768663494,886.1799768663494,0,0,0.0,0,0,0,0,0,0
8393188447,53.9716490064,-52.4817273529,8393188722,0.0,0.0,0.0,0.0,0,0,693.9716490064,564.4817273529,894.5592602728875,894.5592602728875,894.5592602728875,0,0,0.0,0,0,0,0,0,0
8393203456,60.2422790646,-58.1902265999,8393204688,0.0,0.0,0.0,0.0,0,0,700.2422790646,570.1902265999,903.0261036645787,903.0261036645787,903.0261036645787,0,0,0.0,0,0,0,0,0,0
8393221469,66.5649040657,-63.8256243467,8393224645,0.0,0.0,0.0,0.0,0,0,706.5649040657,575.8256243467,911.4873083656397,911.4873083656397,911.4873083656397,0,0,0.0,0,0,0,0,0,0
8393236480,73.0051644278,-69.4329327916,8393236619,0.0,0.0,0.0,0.0,0,0,713.0051644278,581.4329327916,920.0220757326181,920.0220757326181,920.0220757326181,0,0,0.0,0,0,0,0,0,0
8393254489,79.5216733602,-74.962141571,8393256576,0.0,0.0,0.0,0.0,0,0,719.5216733602,586.962141571,928.5666341586247,928.5666341586247,928.5666341586247,0,0,0.0,0,0,0,0,0,0
8393269502,86.1309218655,-80.4143622609,8393272542,0.0,0.0,0.0,0.0,0,0,726.1309218655,592.4143622609,937.1344046091947,937.1344046091947,937.1344046091947,0,0,0.0,0,0,0,0,0,0
8393287514,92.8676251762,-85.8038450213,8393288508,0.0,0.0,0.0,0.0,0,0,732.8676251762,597.8038450213,945.7612770428136,945.7612770428136,945.7612770428136,0,0,0.0,0,0,0,0,0,0
8393302532,99.7296751641,-91.1135169624,8393304473,0.0,0.0,0.0,0.0,0,0,739.7296751641,603.1135169624,954.4348624506232,954.4348624506232,954.4348624506232,0,0,0.0,0,0,0,0,0,0
8393320539,106.71912945,-96.329787637,8393324459,0.0,0.0,0.0,0.0,0,0,746.71912945,608.329787637,963.1482693817413,963.1482693817413,963.1482693817413,0,0,0.0,0,0,0,0,0,0
8393338544,113.845039728,-101.444004309,8393340454,0.0,0.0,0.0,0.0,0,0,753.845039728,613.444004309,971.9032309572647,971.9032309572647,971.9032309572647,0,0,0.0,0,0,0,0,0,0
8393353555,121.108010066,-106.441016076,8393356449,0.0,0.0,0.0,0.0,0,0,761.108010066,618.441016076,980.6909265164747,980.6909265164747,980.6909265164747,0,0,0.0,0,0,0,0,0,0
8393371565,128.516591737,-111.310939145,8393372457,0.0,0.0,0.0,0.0,0,0,768.516591737,623.310939145,989.512141730902,989.512141730902,989.512141730902,0,0,0.0,0,0,0,0,0,0
8393386577,136.096635555,-116.053582469,8393388466,0.0,0.0,0.0,0.0,0,0,776.096635555,628.053582469,998.3873447575022,998.3873447575022,998.3873447575022,0,0,0.0,0,0,0,0,0,0
8393404595,143.832784463,-120.641770839,8393408477,0.0,0.0,0.0,0.0,0,0,783.832784463,632.641770839,1007.2881634414879,1007.2881634414879,1007.2881634414879,0,0,0.0,0,0,0,0,0,0
8393419601,151.760146197,-125.077828801,8393420483,0.0,0.0,0.0,0.0,0,0,791.760146197,637.077828801,1016.2442073909652,1016.2442073909652,1016.2442073909652,0,0,0.0,0,0,0,0,0,0
8393437613,159.823708405,-129.313507076,8393440494,0.0,0.0,0.0,0.0,0,0,799.8237084049999,641.313507076,1025.1833879286403,1025.1833879286403,1025.1833879286403,0,0,0.0,0,0,0,0,0,0
8393452628,168.053269792,-133.348281546,8393456503,0.0,0.0,0.0,0.0,0,0,808.053269792,645.348281546,1034.129823240737,1034.129823240737,1034.129823240737,0,0,0.0,0,0,0,0,0,0
8393470634,176.492235425,-137.183278666,8393472511,0.0,0.0,0.0,0.0,0,0,816.492235425,649.183278666,1043.1195999543154,1043.1195999543154,1043.1195999543154,0,0,0.0,0,0,0,0,0,0
8393488646,185.107212243,-140.782322451,8393492522,0.0,0.0,0.0,0.0,0,0,825.107212243,652.782322451,1052.1058274717125,1052.1058274717125,1052.1058274717125,0,0,0.0,0,0,0,0,0,0
8393503654,193.95475753,-144.146254712,8393504528,0.0,0.0,0.0,0.0,0,0,833.95475753,656.146254712,1061.135450910724,1061.135450910724,1061.135450910724,0,0,0.0,0,0,0,0,0,0
8393521671,202.882287218,-147.199160114,8393524534,0.0,0.0,0.0,0.0,0,0,842.882287218,659.199160114,1070.043963022478,1070.043963022478,1070.043963022478,0,0,0.0,0,0,0,0,0,0
8393536679,212.063429574,-149.980585471,8393540537,0.0,0.0,0.0,0.0,0,0,852.063429574,661.980585471,1078.9950804141486,1078.9950804141486,1078.9950804141486,0,0,0.0,0,0,0,0,0,0
8393554688,221.400267683,-152.435662552,8393556540,0.0,0.0,0.0,0.0,0,0,861.400267683,664.4356625519999,1087.881046270804,1087.881046270804,1087.881046270804,0,0,0.0,0,0,0,0,0,0
8393569703,230.896953699,-154.544628756,8393572546,0.0,0.0,0.0,0.0,0,0,870.896953699,666.5446287560001,1096.6965150330661,1096.6965150330661,1096.6965150330661,0,0,0.0,0,0,0,0,0,0
8393587717,240.599818219,-156.292297238,8393588554,0.0,0.0,0.0,0.0,0,0,880.599818219,668.292297238,1105.473036484825,1105.473036484825,1105.473036484825,0,0,0.0,0,0,0,0,0,0
