t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,sacc_l,sacc_m,sacc_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
1279470746.0,5.89242327511,-5.89040368374,1279473823,671.590182988,469.249415886,617.325924496,506.63730519800004,644.458053742,487.94336054200005,645.89242327511,517.89040368374,55.01200367375586,29.981374366275304,30.70304672221729,0.0,0.0,0.0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279485771,11.2843891157,-11.2702239563,1279485821,673.635395913,470.136628266,616.836051551,510.618999971,645.235723732,490.3778141185,651.2843891157,523.2702239563,57.643269302089536,33.44393783425891,36.69797582016965,0.00018581088823059968,0.0002130061371945909,0.00033436543062064384,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279503763,17.1788739666,-17.129020083,1279505821,675.377156673,469.49995686,618.793252135,512.0840556019999,647.085204404,490.79200623099996,657.1788739666,529.129020083,62.344227273377854,39.64352149251376,41.99984258967124,9.272379716520887e-05,9.476462765925443e-05,0.00012223974525430156,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279518971,23.1193950408,-22.9983007216,1279521822,683.666332041,476.491655654,628.422392273,511.58418703300003,656.044362157,494.0379213435,663.1193950408,534.9983007216,62.009710023159386,41.56691916782782,41.85812610343903,0.0006777132459613707,0.0005955273507167198,0.0006025939637467632,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1279536785,29.1112567762,-28.8705955084,1279537823,693.797301866,480.11565931900003,630.706960315,511.601865826,662.2521310905,495.85876257250004,669.1112567762,540.8705955084,65.57867865056225,45.53144747777736,48.28611108694865,0.0006724357609639831,0.00040430605537222325,0.00014278085390554635,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279554809,35.0960251236,-34.6766501728,1279557825,703.415707626,484.28598477599996,639.708055915,516.655894135,671.5618817705001,500.4709394555,675.0960251236,546.6766501728,68.51714782222189,46.340671899866464,46.40640212071956,0.0005241263349834342,0.0005194276846565216,0.0005160949882534872,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1279569814,41.428668148,-40.7435732164,1279569828,700.307621801,482.58997928300005,637.019370117,519.4305963830001,668.6634959590001,501.01028783300006,681.428668148,552.7435732164,72.6494434445612,53.28491754310146,55.515224732579675,0.00029498547706274943,0.0002456170354270547,0.0003218926524992126,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279587821,47.2703280028,-46.2599745039,1279589835,694.909852174,483.215114902,636.955602049,514.401351449,665.9327271115001,498.8082331755,687.2703280027999,558.2599745039,75.43270697934179,63.164885488500566,66.74691351723908,0.0002715973749701497,0.00017533919579805368,0.0002513944714260252,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279602839,53.72352869,-52.2535276542,1279605840,695.480810631,481.631238276,639.590934873,513.709674963,667.535872752,497.6704566195,693.72352869,564.2535276542,82.64097495743368,71.54787678148782,74.06091248577768,0.0001051949064242226,0.0001228279599943014,0.00017023373185737906,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
1279620840,59.6860806322,-57.6885684922,1279621846,691.555607957,484.191026852,642.316421504,521.0485095390001,666.9360147305,502.6197681955,699.6860806322,569.6885684922,85.88325920946359,74.6377303366355,75.21391575670438,0.0002927727964360268,0.00031147885391033503,0.0004891032573845764,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279635852,66.0267475414,-63.3508835102,1279637852,692.070453578,487.392232527,643.059148686,529.000446528,667.564801132,508.19633952749996,706.0267475414,575.3508835102,89.05898283709077,77.3889791838861,78.18747670858468,0.00020257043173435362,0.00035061281896824563,0.0004989721221020837,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279653878,72.4262017846,-68.9345472833,1279657859,692.947454291,486.689875187,641.269185043,535.1063274019999,667.108319667,510.89810129449995,712.4262017846,580.9345472833,96.23658255808206,83.41950734910152,84.63773844481634,5.615943469544351e-05,0.00013695472981055815,0.00031803076084142195,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279668881,79.2421810675,-74.7280750904,1279669863,693.939337781,487.524666037,640.6796634990001,537.7770463530001,667.3095006400001,512.650856195,719.2421810675,586.7280750904,102.37944249798096,90.46788190104733,92.56496303218957,0.00010799912257075241,0.00014697291605783393,0.00022784148681071205,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279686899,85.5535515838,-79.9444841391,1279689870,692.081731632,491.97491230199995,640.283607739,541.679293929,666.1826696855001,516.8271031155,725.5535515838,591.9444841391,105.4242762563672,95.7471803721999,98.98258771194497,0.0002410348636173947,0.0002162041608270602,0.00019604612265445526,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279704915,92.5985682465,-85.5919178095,1279705874,691.625322478,497.141462874,641.284779713,537.568905595,666.4550510955,517.3551842345,732.5985682465,597.5919178095,108.48548642816155,103.98508679560815,109.27474535153476,0.0003240859043753465,3.712756916007536e-05,0.0002643439115416946,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279719911,99.8963882169,-91.2402100653,1279721876,707.325247545,553.585332263,670.6776703730001,552.9192950940001,689.001458959,553.2523136785001,739.8963882169,603.2402100653001,59.384224287516346,71.33781332045508,85.57701434089789,0.0036612092969256537,0.0026490676853360355,0.0020722323754151636,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1279738224,106.36355224,-96.0691665974,1279741880,769.469455521,619.757093514,740.9195661919999,615.944138136,755.1945108565,617.850615825,746.36355224,608.0691665974,25.893829420128526,13.178109844679977,9.573513504695153,0.00453798119178666,0.004623591677925654,0.004717651273475527,1,1,1,1,1,1,1,-1,1,1,1,-1
1279755938,113.238106621,-101.016528033,1279757882,785.854435864,633.321280261,748.069602891,618.886935645,766.9620193774999,626.104107953,753.238106621,613.016528033,38.42014961355876,18.963927059298896,7.821452316421262,0.0013292703156765273,0.0008982247034602247,0.0004831866026677964,1,1,0,1,1,1,1,-1,1,1,1,-1
1279770960,120.823584649,-106.249460992,1279773884,793.989750117,644.615884789,748.656538269,628.4072397809999,771.323144193,636.511562285,760.8235846489999,618.249460992,42.369598011944454,21.06525799162674,15.849841877423522,0.0008698576586641958,0.0007051780794261653,0.0005960742110916333,1,1,1,1,1,1,1,-1,1,1,1,-1
