t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
4927883855.0,7.30309759462,0.0,4927887185,645.372408065,498.870818578,631.232462456,495.532700303
4927898865,13.9547636234,0,4927899183,645.748736603,485.865119255,629.1607292269999,494.52040786199996
4927916872,21.5956143072,0,4927919181,644.91935957,475.31311038300004,627.206946572,485.734766236
4927931884,28.5342408567,0,4927935178,646.814020483,476.84536735,625.122934064,481.887886034
4927949897,36.1786047707,0,4927951177,649.120512693,485.750752371,625.7608544330001,482.888430299
4927967910,43.1345164015,0,4927971176,655.835449638,497.23540984,625.0844654719999,485.83673792699994
4927982918,50.78084772,0,4927983175,658.117943893,506.31828009300006,626.318904207,485.939558756
4928000930,57.7964842386,0,4928003174,653.385742052,507.826174551,626.628209331,487.867624299
4928015941,65.8943357065,0,4928019174,648.297260084,500.858508032,630.268822107,488.911799944
4928033951,72.3420939451,0,4928035176,646.760833381,496.31402618199996,629.116695194,489.077574982
4928048969,79.9919384938,0,4928051178,655.467718182,491.559222654,630.775429317,490.23772492
4928066975,86.9731453718,0,4928067180,664.594756232,492.221474281,636.96888247,497.51436215300004
4928081984,94.6094991263,0,4928083182,666.736701926,490.406064702,637.4782211219999,502.311287198
4928100001,101.602229394,0,4928103185,667.100087843,487.606865939,630.925835172,497.705863963
4928115009,109.810817823,0,4928115186,664.366728108,486.30587221,627.405875734,490.859554558
4928133022,116.148120157,0,4928135189,764.84414154,495.65472297800005,717.4141783360001,487.84200292699995
4928148034,123.786862902,0,4928151189,775.649089552,502.486241867,737.17292292,491.00651392300006
4928166048,130.756686918,0,4928167189,779.608364455,498.540169175,746.147920095,498.943633368
4928181049,138.395991783,0,4928183189,784.296240996,492.871366444,748.591159605,501.37317395
4928199085,145.388722051,0,4928199189,791.384393817,492.106178675,750.24361097,500.61672192199995
4928217081,153.164340187,0,4928219189,797.160268647,495.539326474,757.591370093,498.33363551400004
4928232087,159.989419181,0,4928235188,798.109753831,497.199416542,763.5473846680001,503.118524115
