t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
1415867502.0,2.94567027345,-2.94541786637,1415868721,624.620136617,498.789347291,647.915147421,495.801671576
1415882500,5.69601228599,-5.69418793214,1415884691,628.485298582,502.413135754,646.71849376,495.66291540300006
1415900515,8.6367777991,-8.63042184387,1415900662,629.991824431,503.731701165,647.2151037259999,492.95230214199995
1415918524,11.587704014,-11.5723672041,1415920625,626.28967315,503.423810377,649.069713329,490.85838209900004
1415933551,14.5404351479,-14.5101673131,1415936618,622.157785234,504.39999849199995,644.92810462,491.28523419
1415953534,17.4939163431,-17.4412774892,1415956642,624.875466982,507.401218014,639.945327984,491.97927046300003
1415968560,20.4614708575,-20.3773818431,1415968657,629.615730004,508.429691586,637.007082788,492.8058143
1415983568,23.4350555358,-23.3089601028,1415984676,633.155982087,512.174171077,637.7252496369999,494.844372551
1416001584,26.4183751244,-26.2381227176,1416004700,628.787178161,514.1415181780001,641.289969535,493.018453028
1416016592,29.4047930299,-29.1568396227,1416016714,627.222600368,515.61608255,641.551554093,489.838489661
1416034606,32.4059033894,-32.0749024411,1416036738,625.405286862,514.833997766,642.019942244,485.851181521
1416049685,35.417137488,-34.9862847849,1416052758,625.50679071,518.152099807,643.6530170130001,487.861073873
1416067633,38.4385651762,-37.8895138791,1416068777,625.984512935,520.420637396,647.65806455,492.349062056
1416082633,41.6194142469,-40.9249673972,1416084796,627.425573563,520.490870707,655.331554132,496.523870587
1416100650,44.5217780701,-43.6746518441,1416100815,647.214387677,525.89500706,675.779900449,507.89698859099997
1416115658,47.5945794877,-46.563730501,1416116834,657.020799029,529.586553354,683.997465296,512.8576479
1416134185,50.6679936237,-49.4294345831,1416136858,662.921813831,533.494376397,687.387459841,516.979944019
1416151686,53.7664571404,-52.2930218323,1416152865,665.992878335,534.638333636,689.2787068719999,515.004380577
1416166690,56.8844417439,-55.1476374024,1416168873,670.304284264,531.419401732,691.0024437999999,514.610914751
1416184705,60.0177796815,-57.9878537756,1416184880,674.214934779,529.059290835,691.5362112160001,515.423637429
1416199716,63.1805103542,-60.8246594917,1416200888,677.963925338,530.6116390340001,695.6107214860001,517.42323421
1416217734,66.3635241952,-63.64808428,1416220897,679.500355254,531.844231788,701.857671417,520.261465778
1416232740,69.5466819911,-66.4389230225,1416232903,680.470833725,533.470792247,704.925394298,524.0504414430001
1416250744,72.7717759943,-69.232163968,1416252912,688.389281055,538.806193477,710.718244065,527.2895145169999
1416266159,76.0154532796,-72.0056500598,1416268919,693.570495263,542.8806503669999,718.806803027,527.861934786
1416283769,79.2929956229,-74.7706516051,1416284927,699.309552538,544.003988488,722.5991602000001,529.405761823
1416301789,82.5852781241,-77.509323072,1416304936,705.391860557,544.829033469,725.4608255810001,536.558076861
1416316798,85.9171053727,-80.2404981247,1416316942,705.855747854,546.330889235,731.014276213,541.476024542
1416334803,89.2623609641,-82.9410142081,1416336948,710.22361653,548.745659421,734.2374818210001,543.6950049659999
1416349819,92.6415130952,-85.6257627729,1416352945,711.550860926,551.515199662,738.639150048,544.297712575
1416367829,96.0544028979,-88.2926149767,1416368941,719.318095258,553.820329815,739.694853683,542.5340347680001
1416382833,99.5031549952,-90.9411969429,1416384937,720.830116887,553.9115832809999,742.944308099,543.9141268469999
1416400857,102.968962213,-93.555384594,1416400934,724.506666275,555.123164503,746.1409892639999,547.055076065
1416415858,106.481915675,-96.1559782153,1416416930,728.193745734,558.810403882,748.3348566610001,548.008824777
1416434078,110.026225811,-98.7291057777,1416436926,731.103139568,563.3367922880001,753.529482087,546.313444771
1416448880,113.595533326,-101.268455375,1416448923,734.988305379,566.0036096,754.38299553,548.438654746
1416466890,117.211400675,-103.787356285,1416468919,738.258208323,568.335561652,756.3709580389999,551.089905384
1416484902,120.875952106,-106.284754881,1416484915,746.513571514,569.7459679140001,757.985763653,553.600761605
1416499918,124.543915926,-108.728256607,1416500911,745.354197974,572.7275949890001,764.6351288769999,557.031384109
1416517946,128.27609871,-111.156484891,1416520907,749.793246126,577.2136893019999,767.7904729769999,561.429956938
1416532948,132.033128264,-113.541453738,1416536904,755.894350159,581.167997167,770.568898973,562.98540787
1416550944,135.847049802,-115.901307755,1416552904,756.082055836,584.805850372,777.259442118,565.213218585
1416566242,139.676538069,-118.208515732,1416568903,763.68226809,587.361493565,780.382699994,566.4265614340001
1416583975,143.592247435,-120.502962413,1416584903,765.131697178,591.183381467,786.145078444,568.16021462
1416598981,147.496606008,-122.725467343,1416600902,769.916844397,591.674405119,789.1922871239999,568.960938308
1416616991,151.474321876,-124.92256631,1416620902,774.510130276,595.021196219,790.697947233,574.349249234
1416635006,155.473724818,-127.06320794,1416636902,779.186028742,593.048692509,793.53048428,577.195521049
1416650023,159.52645233,-129.162320981,1416652901,781.174137037,595.95722346,796.3267409580001,581.474971722
1416668031,163.629906616,-131.215794947,1416668901,783.650178368,596.587186645,800.745820128,584.829646776
1416683034,167.78626737,-133.221946707,1416684900,786.982921749,600.054483654,803.042339988,587.8246882369999
1416701050,171.964231547,-135.163656791,1416704900,794.276991387,601.79845853,806.9649271630001,588.992805861
1416716061,176.215485939,-137.062370374,1416716900,794.669935939,602.667057722,811.944223377,588.9769376419999
1416734182,180.479957422,-138.888893708,1416736899,804.560711072,604.884685343,816.358838061,591.106494171
1416749080,184.808188857,-140.662748179,1416752893,808.934168208,609.383691008,821.357123477,590.431424635
1416767089,189.18274619,-142.373715446,1416768885,813.601273708,614.463080263,829.378643542,593.6296105590001
1416782102,193.611005039,-144.021844213,1416784878,815.614697118,617.137082594,830.508097893,595.3921882999999
1416800116,198.068246109,-145.595551749,1416800871,822.963737636,618.709652797,835.659528053,598.500610549
1416818130,202.578552049,-147.10093293,1416820862,828.6022891,617.72183334,840.272811758,602.20788133
1416833137,207.13622838,-148.533094805,1416836855,830.13506891,619.650174921,847.0658827,604.9587431159999
1416851142,211.724390127,-149.884341883,1416852848,835.299109902,621.4289471230001,849.726408697,606.561648026
1416866186,216.372475122,-151.160516127,1416868840,838.426830473,626.941625787,854.698954275,607.6525010409999
1416884170,221.081382218,-152.358041669,1416884833,845.875336666,629.007417359,857.60549955,608.56062713
1416899180,225.795085483,-153.460434382,1416900826,847.817533609,632.7155543580001,862.428204746,611.307628088
1416917192,230.592596099,-154.483135042,1416920817,852.722239862,634.721612341,868.33946213,616.714076543
1416932209,235.397340252,-155.406609891,1416932812,853.65088706,634.998941283,872.1818835260001,618.180839285
1416950235,240.240946538,-156.23502845,1416952816,866.972146764,644.777930374,884.152242517,624.0578733890001
1416965382,245.142273035,-156.96798229,1416968822,875.042032769,652.460348616,891.182483441,629.782287305
1416983231,250.070219201,-157.597435709,1416984828,883.513584757,658.550659503,901.925546398,636.790223283
1417001249,255.037232657,-158.122047732,1417004836,893.404458466,660.582553949,909.193419381,639.781467809
1417016258,260.035218512,-158.537727195,1417016840,896.443857841,657.577830103,913.9932097000001,641.743676725
1417034276,265.055242876,-158.840893652,1417036848,905.02429925,657.297282944,916.3733114910001,644.298016095
1417049280,270.114687063,-159.029277738,1417052854,909.488147037,655.5885134380001,921.481969094,650.401305791
1417067290,275.196505084,-159.098701294,1417068861,915.049614145,657.179174849,926.569312247,650.089780944
1417082307,280.316163813,-159.045642276,1417084867,917.606884449,655.303409045,933.3157789530001,651.149438144
1417100314,285.44794158,-158.866748021,1417100873,923.665031045,656.707370527,937.102208816,653.462092081
1417115327,290.608323676,-158.557879895,1417116879,927.996217809,658.451969212,939.8000932130001,656.2606689280001
1417133339,295.757677024,-158.118437711,1417136885,935.901730927,662.730765378,946.895140657,652.915749555
1417151353,300.926690123,-157.542867997,1417152882,937.949037132,664.980045578,953.161003059,649.458553993
1417166362,306.102460479,-156.828651723,1417168876,943.226777601,665.876983396,958.096214283,650.982263418
1417184378,311.291543924,-155.970791412,1417184870,944.881091065,665.9094182580001,959.67778948,654.8338798130001
1417199381,316.474297196,-154.968569737,1417200863,947.738664721,666.3026185169999,961.054004925,657.5689334790001
1417217399,321.667887191,-153.814346712,1417220856,950.727195278,666.463740197,962.190507528,657.129968611
1417232410,326.810419747,-152.519064608,1417232851,955.799122394,665.3729928480001,965.257988547,653.400561035
