t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y
4521572619.0,11.2520329493,-11.2379891386,4521576261,686.340569081,481.243393624,632.456744929,429.50054269099996
4521587636,17.4377141809,-17.3855795305,4521588264,684.156338898,489.163048423,635.130605224,437.393883761
4521605674,23.0937266226,-22.9730331062,4521608270,674.747525372,495.477450091,629.985091108,446.234967954
4521623694,29.0442771814,-28.8052598074,4521624301,675.762622175,494.39769874300003,632.1546056369999,451.60338326199997
4521638685,35.3615874053,-34.9327348003,4521640414,672.92549716,492.14402504300006,631.6273401000001,454.889597041
4521656768,41.1298921585,-40.4592802772,4521660555,675.540064795,492.669196651,628.875073477,452.276768191
4521671757,48.3594907437,-47.2792336795,4521672640,676.848764407,492.846857334,627.560912327,452.87197492
4521689771,53.3881649671,-51.9448165251,4521692781,680.03912309,492.377814101,630.511047252,453.76146206699997
4521704766,60.7398689241,-58.6382299287,4521704866,683.836126177,499.54870340599996,630.685304662,451.466196378
4521722865,65.9641675578,-63.2956172793,4521725138,684.770364884,503.257397276,629.255778192,446.62220149800004
4521737748,72.418543719,-68.9279473625,4521741776,0.0,0.0,693.33641656,469.343404497
4521758801,79.1932910967,-74.6871024129,4521762573,701.920505677,526.7194602559999,669.59715865,517.939795825
4521770804,86.8137066262,-80.9684219311,4521770892,711.365279296,524.897759663,708.9629331089999,520.830946581
4521791773,92.2242664639,-85.2966284752,4521795849,722.362063575,537.752233808,707.0858802460001,525.028681074
4521803786,100.297789218,-91.5448008793,4521804168,726.194649864,534.4587547680001,704.54388465,522.343082133
4521821898,106.05135578,-95.8399192701,4521824965,737.699300984,546.306865903,706.578494783,525.56224784
4521836875,113.991051818,-101.546617063,4521837443,730.837862982,549.662344395,703.0838705780001,529.395210871
4521854821,120.419668147,-105.976849789,4521858119,743.441678982,552.111331778,710.69164479,531.664486739
4521872836,127.850603354,-110.882616262,4521874659,0.0,0.0,711.8329158260001,533.38945486
4521890938,135.395866597,-115.625363744,4521891199,0.0,0.0,714.679837147,536.531338675
4521905861,144.072368925,-120.77978354,4521907739,740.70497741,554.363037861,731.700208332,536.976069135
4521923863,151.866181173,-125.135338871,4521924279,0.0,0.0,767.3187980539999,545.46687037
4521938925,159.972276949,-129.38892754,4521940459,805.481983391,574.59063677,772.6758427330001,578.159261435
4521953896,167.28479405,-132.983841035,4521956518,801.664674318,619.93772432,789.266042989,586.811978606
4521971907,175.700441776,-136.836477232,4521972578,823.346081038,604.497373866,783.294297739,601.499269742
4521986962,184.33248587,-140.471730242,4521988637,815.133839764,641.247351356,787.49418054,612.472581277
4522004973,193.077991477,-143.827931156,4522008712,813.957198496,610.533222391,796.2978836310001,621.573853121
4522023013,202.063405529,-146.933427166,4522024771,817.113944143,603.226733789,799.7215976639999,628.310635903
4522037934,211.594793466,-149.847421935,4522040830,819.050120681,604.69404327,806.750510831,626.005136849
4522058983,220.492341115,-152.213501312,4522060892,832.054069245,596.901783699,821.552993542,623.40807028
4522071012,231.950315534,-154.754329523,4522072927,828.905981374,601.416017723,817.654811038,623.508891764
