parameters,silhouette
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 2, 'copy_x': True, 'tol': 0.0001}",0.264072709877
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 3, 'copy_x': True, 'tol': 0.0001}",0.136726304225
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 4, 'copy_x': True, 'tol': 0.0001}",0.136345364402
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 5, 'copy_x': True, 'tol': 0.0001}",0.136161986192
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 6, 'copy_x': True, 'tol': 0.0001}",0.118147366944
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 7, 'copy_x': True, 'tol': 0.0001}",0.134426452561
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 8, 'copy_x': True, 'tol': 0.0001}",0.0906876930396
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 9, 'copy_x': True, 'tol': 0.0001}",0.0920296691514
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 10, 'copy_x': True, 'tol': 0.0001}",0.0755977140604
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 11, 'copy_x': True, 'tol': 0.0001}",0.0782523046234
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 12, 'copy_x': True, 'tol': 0.0001}",0.0940611602366
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 13, 'copy_x': True, 'tol': 0.0001}",0.0735305183494
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 14, 'copy_x': True, 'tol': 0.0001}",0.0906633560626
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 15, 'copy_x': True, 'tol': 0.0001}",0.0722974018677
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 16, 'copy_x': True, 'tol': 0.0001}",0.0928025943244
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 17, 'copy_x': True, 'tol': 0.0001}",0.0629556725305
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 18, 'copy_x': True, 'tol': 0.0001}",0.0606742090338
"{'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'random_state': None, 'init': 'random', 'max_iter': 10000, 'verbose': 0, 'algorithm': 'elkan', 'n_clusters': 19, 'copy_x': True, 'tol': 0.0001}",0.0648241735792
