eps,min_sample,n_cluster,silhouette
0.26,2.0,1.0,-0.17835920889740836
0.26,2.0,1.0,-0.17835920889740836
0.26,2.0,1.0,-0.17835920889740836
0.29000000000000004,2.0,2.0,-0.17361954602345947
0.29000000000000004,3.0,1.0,-0.13565402123005788
0.29000000000000004,3.0,1.0,-0.13565402123005788
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.3,3.0,1.0,-0.12954906857850523
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.34,2.0,2.0,-0.12723950830014474
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.36000000000000004,3.0,2.0,-0.1234568025715603
0.38,3.0,2.0,-0.1208298259164314
0.38,3.0,2.0,-0.1208298259164314
0.38,3.0,2.0,-0.1208298259164314
0.38,3.0,2.0,-0.1208298259164314
0.38,3.0,2.0,-0.1208298259164314
0.38,3.0,2.0,-0.1208298259164314
0.38,3.0,2.0,-0.1208298259164314
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.39,4.0,2.0,-0.11917139897062631
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.41000000000000003,5.0,1.0,-0.0571399950168208
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.43,4.0,1.0,-0.03737141727567113
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.44,4.0,1.0,-0.03545553086573897
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.45,5.0,1.0,-0.029417262505316115
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
0.46,5.0,1.0,-0.02187709245161916
