parameters,silhouette
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 2, 'tol': 0.0001}",0.264456314128
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 3, 'tol': 0.0001}",0.136449558402
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 4, 'tol': 0.0001}",0.123623348955
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 5, 'tol': 0.0001}",0.13473341882
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 6, 'tol': 0.0001}",0.140188585433
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 7, 'tol': 0.0001}",0.0833965757073
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 8, 'tol': 0.0001}",0.125101306913
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 9, 'tol': 0.0001}",0.0911144644257
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 10, 'tol': 0.0001}",0.102219481892
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 11, 'tol': 0.0001}",0.104300615103
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 12, 'tol': 0.0001}",0.0760949016447
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 13, 'tol': 0.0001}",0.0863642058657
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 14, 'tol': 0.0001}",0.101432867059
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 15, 'tol': 0.0001}",0.0786846021051
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 16, 'tol': 0.0001}",0.117569623347
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 17, 'tol': 0.0001}",0.0645160174484
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 18, 'tol': 0.0001}",0.0957114004752
"{'init': 'k-means++', 'max_iter': 300, 'verbose': 0, 'random_state': None, 'copy_x': True, 'precompute_distances': 'auto', 'n_init': 10, 'algorithm': 'auto', 'n_jobs': 1, 'n_clusters': 19, 'tol': 0.0001}",0.0932207907816
