parameters,silhouette
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 2, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.264456314128
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 3, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.120786069046
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 4, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.123953863189
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 5, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.136654166264
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 6, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.122391149104
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 7, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0890862515856
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 8, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.103586176948
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 9, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0897696564781
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 10, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0650518831566
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 11, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.103226921515
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 12, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.063443269694
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 13, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0866212931859
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 14, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0574564453998
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 15, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0753267112678
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 16, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0679010483246
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 17, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0688280106152
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 18, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.0648301724047
"{'verbose': 0, 'init': 'random', 'n_init': 10, 'n_jobs': 1, 'precompute_distances': 'auto', 'n_clusters': 19, 'copy_x': True, 'algorithm': 'elkan', 'random_state': None, 'max_iter': 10000, 'tol': 0.0001}",0.091751312684
