parameters,silhouette
"{'copy_x': True, 'n_clusters': 2, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.264456314128
"{'copy_x': True, 'n_clusters': 3, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.13658385324
"{'copy_x': True, 'n_clusters': 4, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.123400220069
"{'copy_x': True, 'n_clusters': 5, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.133267397064
"{'copy_x': True, 'n_clusters': 6, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.124440680505
"{'copy_x': True, 'n_clusters': 7, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.141071639735
"{'copy_x': True, 'n_clusters': 8, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0911549016191
"{'copy_x': True, 'n_clusters': 9, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0973859005308
"{'copy_x': True, 'n_clusters': 10, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0960000026235
"{'copy_x': True, 'n_clusters': 11, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.105375350394
"{'copy_x': True, 'n_clusters': 12, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0887323602621
"{'copy_x': True, 'n_clusters': 13, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0937390659772
"{'copy_x': True, 'n_clusters': 14, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0792742776261
"{'copy_x': True, 'n_clusters': 15, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0810793512581
"{'copy_x': True, 'n_clusters': 16, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0947011449086
"{'copy_x': True, 'n_clusters': 17, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0778119068559
"{'copy_x': True, 'n_clusters': 18, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.0932466405505
"{'copy_x': True, 'n_clusters': 19, 'max_iter': 2000, 'random_state': None, 'tol': 0.0001, 'verbose': 0, 'precompute_distances': 'auto', 'n_jobs': 1, 'init': 'k-means++', 'n_init': 10, 'algorithm': 'auto'}",0.100964002877
