parameters,silhouette
"{'max_iter': 10000, 'n_clusters': 2, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.264456314128
"{'max_iter': 10000, 'n_clusters': 3, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.136726304225
"{'max_iter': 10000, 'n_clusters': 4, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.122707278552
"{'max_iter': 10000, 'n_clusters': 5, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.135916091024
"{'max_iter': 10000, 'n_clusters': 6, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.129191391644
"{'max_iter': 10000, 'n_clusters': 7, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.131216216973
"{'max_iter': 10000, 'n_clusters': 8, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.090866092601
"{'max_iter': 10000, 'n_clusters': 9, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.0969790490895
"{'max_iter': 10000, 'n_clusters': 10, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.0947290332736
"{'max_iter': 10000, 'n_clusters': 11, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.101859581471
"{'max_iter': 10000, 'n_clusters': 12, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.0962822347428
"{'max_iter': 10000, 'n_clusters': 13, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.0824067560704
"{'max_iter': 10000, 'n_clusters': 14, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.117973697062
"{'max_iter': 10000, 'n_clusters': 15, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.104675122398
"{'max_iter': 10000, 'n_clusters': 16, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.0928189455132
"{'max_iter': 10000, 'n_clusters': 17, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.105045591869
"{'max_iter': 10000, 'n_clusters': 18, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.0674214212223
"{'max_iter': 10000, 'n_clusters': 19, 'random_state': None, 'algorithm': 'auto', 'tol': 0.0001, 'copy_x': True, 'n_init': 10, 'verbose': 0, 'n_jobs': 1, 'precompute_distances': 'auto', 'init': 'k-means++'}",0.0716753029178
