eps,min_sample,n_cluster,silhouette
0.35000000000000003,2.0,2.0,-0.22833420687507483
0.35000000000000003,2.0,2.0,-0.22833420687507483
0.36000000000000004,3.0,1.0,-0.14657319547016556
0.36000000000000004,3.0,1.0,-0.14657319547016556
0.37,3.0,1.0,-0.14640427523554989
0.37,3.0,1.0,-0.14640427523554989
0.37,3.0,1.0,-0.14640427523554989
0.37,3.0,1.0,-0.14640427523554989
0.37,3.0,1.0,-0.14640427523554989
0.37,3.0,1.0,-0.14640427523554989
0.39,3.0,2.0,-0.14271424986245657
0.39,4.0,1.0,-0.12441744689247144
0.39,4.0,1.0,-0.12441744689247144
0.39,4.0,1.0,-0.12441744689247144
0.39,4.0,1.0,-0.12441744689247144
0.39,4.0,1.0,-0.12441744689247144
0.4,4.0,1.0,-0.10514703945456974
0.4,4.0,1.0,-0.10514703945456974
0.4,4.0,1.0,-0.10514703945456974
0.4,4.0,1.0,-0.10514703945456974
0.4,4.0,1.0,-0.10514703945456974
0.4,4.0,1.0,-0.10514703945456974
0.4,4.0,1.0,-0.10514703945456974
0.4,4.0,1.0,-0.10514703945456974
0.4,4.0,1.0,-0.10514703945456974
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.42000000000000004,3.0,1.0,-0.09053755134183332
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
0.44,4.0,1.0,-0.08697864487766807
