parameters,silhouette
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 2, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.264456314128
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 3, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.136726304225
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 4, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.124954406302
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 5, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.136114040448
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 6, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.139070436764
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 7, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0926667627556
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 8, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0973643064594
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 9, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.108199792629
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 10, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.102276309133
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 11, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.10555654114
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 12, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.104247598153
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 13, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0966616142839
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 14, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0782487538361
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 15, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0720937897418
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 16, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0716124995026
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 17, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0928289161813
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 18, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0805064638736
"{'max_iter': 10000, 'init': 'random', 'copy_x': True, 'verbose': 0, 'n_clusters': 19, 'precompute_distances': 'auto', 'n_init': 50, 'n_jobs': 1, 'algorithm': 'elkan', 'random_state': None, 'tol': 0.0001}",0.0626685371894
