parameters,silhouette
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 2, 'algorithm': 'auto'}",0.264072709877
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 3, 'algorithm': 'auto'}",0.136726304225
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 4, 'algorithm': 'auto'}",0.124065435507
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 5, 'algorithm': 'auto'}",0.136955193054
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 6, 'algorithm': 'auto'}",0.12194626568
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 7, 'algorithm': 'auto'}",0.131127927844
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 8, 'algorithm': 'auto'}",0.0892911907758
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 9, 'algorithm': 'auto'}",0.1110393374
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 10, 'algorithm': 'auto'}",0.102352175392
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 11, 'algorithm': 'auto'}",0.106830818841
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 12, 'algorithm': 'auto'}",0.0994944062289
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 13, 'algorithm': 'auto'}",0.0725556926506
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 14, 'algorithm': 'auto'}",0.0673754183889
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 15, 'algorithm': 'auto'}",0.0751231276382
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 16, 'algorithm': 'auto'}",0.0820707344108
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 17, 'algorithm': 'auto'}",0.0800961284488
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 18, 'algorithm': 'auto'}",0.0633085408303
"{'init': 'random', 'verbose': 0, 'n_init': 10, 'max_iter': 10000, 'tol': 0.0001, 'precompute_distances': 'auto', 'random_state': None, 'copy_x': True, 'n_jobs': 50, 'n_clusters': 19, 'algorithm': 'auto'}",0.0678063439418
