person,Horizontal_mean_delta_l,Horizontal_mean_delta_r,Horizontal_mean_delta_m,Horizontal_mean_geschwindigkeit_l,Horizontal_mean_geschwindigkeit_r,Horizontal_mean_geschwindigkeit_m,Horizontal_max_delta_l,Horizontal_max_delta_r,Horizontal_max_delta_m,Horizontal_max_geschwindigkeit_l,Horizontal_max_geschwindigkeit_r,Horizontal_max_geschwindigkeit_m,Horizontal_min_delta_l,Horizontal_min_delta_r,Horizontal_min_delta_m,Horizontal_min_geschwindigkeit_l,Horizontal_min_geschwindigkeit_r,Horizontal_min_geschwindigkeit_m,Horizontal_standardabweichung_delta_l,Horizontal_standardabweichung_delta_r,Horizontal_standardabweichung_delta_m,Horizontal_standardabweichung_geschwindigkeit_l,Horizontal_standardabweichung_geschwindigkeit_r,Horizontal_standardabweichung_geschwindigkeit_m,Horizontal_varianz_delta_l,Horizontal_varianz_delta_r,Horizontal_varianz_delta_m,Horizontal_varianz_geschwindigkeit_l,Horizontal_varianz_geschwindigkeit_r,Horizontal_varianz_geschwindigkeit_m,Horizontal_tendenz_l,Horizontal_tendenz_r,Horizontal_tendenz_m,Horizontal_Kovarianz_blick_x,Horizontal_Kovarianz_blick_y,Horizontal_links_verhaeltnis_x,Horizontal_links_verhaeltnis_y,Horizontal_rechts_verhaeltnis_x,Horizontal_rechts_verhaeltnis_y,Liegende_8_langsam_mean_delta_l,Liegende_8_langsam_mean_delta_r,Liegende_8_langsam_mean_delta_m,Liegende_8_langsam_mean_geschwindigkeit_l,Liegende_8_langsam_mean_geschwindigkeit_r,Liegende_8_langsam_mean_geschwindigkeit_m,Liegende_8_langsam_max_delta_l,Liegende_8_langsam_max_delta_r,Liegende_8_langsam_max_delta_m,Liegende_8_langsam_max_geschwindigkeit_l,Liegende_8_langsam_max_geschwindigkeit_r,Liegende_8_langsam_max_geschwindigkeit_m,Liegende_8_langsam_min_delta_l,Liegende_8_langsam_min_delta_r,Liegende_8_langsam_min_delta_m,Liegende_8_langsam_min_geschwindigkeit_l,Liegende_8_langsam_min_geschwindigkeit_r,Liegende_8_langsam_min_geschwindigkeit_m,Liegende_8_langsam_standardabweichung_delta_l,Liegende_8_langsam_standardabweichung_delta_r,Liegende_8_langsam_standardabweichung_delta_m,Liegende_8_langsam_standardabweichung_geschwindigkeit_l,Liegende_8_langsam_standardabweichung_geschwindigkeit_r,Liegende_8_langsam_standardabweichung_geschwindigkeit_m,Liegende_8_langsam_varianz_delta_l,Liegende_8_langsam_varianz_delta_r,Liegende_8_langsam_varianz_delta_m,Liegende_8_langsam_varianz_geschwindigkeit_l,Liegende_8_langsam_varianz_geschwindigkeit_r,Liegende_8_langsam_varianz_geschwindigkeit_m,Liegende_8_langsam_tendenz_l,Liegende_8_langsam_tendenz_r,Liegende_8_langsam_tendenz_m,Liegende_8_langsam_Kovarianz_blick_x,Liegende_8_langsam_Kovarianz_blick_y,Liegende_8_langsam_links_verhaeltnis_x,Liegende_8_langsam_links_verhaeltnis_y,Liegende_8_langsam_rechts_verhaeltnis_x,Liegende_8_langsam_rechts_verhaeltnis_y,Liegende_8_schnell_mean_delta_l,Liegende_8_schnell_mean_delta_r,Liegende_8_schnell_mean_delta_m,Liegende_8_schnell_mean_geschwindigkeit_l,Liegende_8_schnell_mean_geschwindigkeit_r,Liegende_8_schnell_mean_geschwindigkeit_m,Liegende_8_schnell_max_delta_l,Liegende_8_schnell_max_delta_r,Liegende_8_schnell_max_delta_m,Liegende_8_schnell_max_geschwindigkeit_l,Liegende_8_schnell_max_geschwindigkeit_r,Liegende_8_schnell_max_geschwindigkeit_m,Liegende_8_schnell_min_delta_l,Liegende_8_schnell_min_delta_r,Liegende_8_schnell_min_delta_m,Liegende_8_schnell_min_geschwindigkeit_l,Liegende_8_schnell_min_geschwindigkeit_r,Liegende_8_schnell_min_geschwindigkeit_m,Liegende_8_schnell_standardabweichung_delta_l,Liegende_8_schnell_standardabweichung_delta_r,Liegende_8_schnell_standardabweichung_delta_m,Liegende_8_schnell_standardabweichung_geschwindigkeit_l,Liegende_8_schnell_standardabweichung_geschwindigkeit_r,Liegende_8_schnell_standardabweichung_geschwindigkeit_m,Liegende_8_schnell_varianz_delta_l,Liegende_8_schnell_varianz_delta_r,Liegende_8_schnell_varianz_delta_m,Liegende_8_schnell_varianz_geschwindigkeit_l,Liegende_8_schnell_varianz_geschwindigkeit_r,Liegende_8_schnell_varianz_geschwindigkeit_m,Liegende_8_schnell_tendenz_l,Liegende_8_schnell_tendenz_r,Liegende_8_schnell_tendenz_m,Liegende_8_schnell_Kovarianz_blick_x,Liegende_8_schnell_Kovarianz_blick_y,Liegende_8_schnell_links_verhaeltnis_x,Liegende_8_schnell_links_verhaeltnis_y,Liegende_8_schnell_rechts_verhaeltnis_x,Liegende_8_schnell_rechts_verhaeltnis_y
vp_001,61.220911940482296,43.829986016662204,41.0328970460704,0.0006155430515461091,0.000592100470811798,0.0005634809963125446,229.19488866613784,180.1744245866713,174.05858563584545,0.0648663267131602,0.06127483419057615,0.06306199147045657,1.7729344122109751,2.661522304192561,0.7649119741022964,5.462041897499455e-06,2.3928234806623817e-06,3.6090817718679436e-06,47.25243239207932,29.10956307070943,27.945086091075858,0.002153474946353931,0.002051573362107851,0.002093508165446428,2232.7923669680267,847.3666621676103,780.9278366376413,4.637454344574064e-06,4.2089532601105125e-06,4.382776438790868e-06,-1.0,-1.0,-1.0,64763.73203773648,272.8059356345725,0.9989550679205852,0.9989550679205852,0.9989550679205852,0.9989550679205852,99.80659013744805,101.31082926854508,93.75931552046278,0.0007030267574143711,0.001160180072911111,0.0010070849774809752,456.7979858546474,425.9219038907213,438.77542798136045,0.0735815204060489,0.06483131447232267,0.0665868445636627,0.7256960546998799,0.3960396664545013,0.21761271089011705,-1.0066640981581906e-06,-4.2915471039973543e-07,-4.5714577722402065e-07,96.10869377203443,97.54961876147127,97.60196386537142,0.003579680742499395,0.004544955772417331,0.004604549417451573,9236.881018566688,9515.928120508386,9526.143350377268,1.2814114218221018e-05,2.065662297322962e-05,2.120187533775362e-05,-1.0,-1.0,-1.0,61582.927412527206,8610.077458913025,0.9787234042553191,0.9787234042553191,0.9557780559032123,0.9557780559032123,48.71237362271472,65.59558645026128,48.01439368423865,0.0009120931298557227,0.0009426398744758502,0.0009612241991794212,180.54715951441696,939.0617986279074,492.22654435920265,0.07153834610979817,0.06583799803877029,0.06871638492013096,5.959203368388407,3.280107861117312,0.2598932639934868,9.40810579369337e-06,2.170593044431549e-06,5.2215599934304665e-06,27.418577767156165,48.49810381741231,32.81342396099886,0.0033763296875091047,0.0033265285768090476,0.003800150389408733,751.7784067735904,2352.066073884502,1076.7207920442543,1.1399602158755329e-05,1.1065792372327226e-05,1.4441142982123347e-05,-1.0,-1.0,-1.0,72419.70732491062,10901.326078081242,0.9874739039665971,0.9874739039665971,0.9519832985386222,0.9519832985386222
vp_002,35.86244327382261,38.76572450313488,35.631629688940066,0.0008279983808712253,0.0006841569524770603,0.0008067161271668461,123.29517244288792,152.5157009933005,135.59399447734765,0.05106716654698895,0.04707412827441961,0.05038677414892387,1.0083839205342635,1.5991429798905377,1.7228557660769122,2.192655992766362e-06,1.0234310368824687e-06,8.743688579540852e-07,23.46401158821786,22.555054260623706,22.27293089323154,0.0036847430376865265,0.002774925302678772,0.0036627581569819555,550.559839812022,508.7304726996795,496.08345057466784,1.357733125377933e-05,7.700210435446874e-06,1.3415797316537852e-05,-1.0,-1.0,-1.0,67101.03251167666,982.3254389023448,0.9717868338557993,0.9717868338557993,0.9958202716823407,0.9958202716823407,30.901098007794747,30.865868426729136,29.47645940140767,0.0005080215321517033,0.000461560214616947,0.0004756502693124097,839.4276490855887,836.7234574323669,837.8413406158803,0.08466965043284197,0.08473403022502178,0.08470144171784354,0.8792774376611,0.29226269246075703,0.3897689381531686,-1.3234331090141334e-05,-1.3149555789134065e-05,-1.318277803430305e-05,66.81634602097677,66.83338941324944,66.89616490442017,0.0029969506270919113,0.002532999482112709,0.0029057123861700655,4464.424095594898,4466.701940463041,4475.096878919378,8.9817130612266e-06,6.416086376383251e-06,8.443164471142137e-06,-1.0,-1.0,-1.0,73299.52914139086,13472.058553878156,0.9962421711899792,0.9962421711899792,0.9958246346555324,0.9958246346555324,38.01007344855859,36.99624734891096,35.804186343692216,0.0007944483188622042,0.000750556954223698,0.0008156016173799088,203.5322624174636,207.12745398842597,205.2730968813062,0.04872474704924497,0.04949514448864105,0.049109861374258684,0.5493934324725389,3.7347641578847814,1.4617286483604282,1.2829074967000976e-05,8.832544822341667e-06,1.0802029968942546e-05,26.145485889381487,27.361557498334708,26.543848164066237,0.0027250787000192294,0.002482456579933533,0.002960492633398485,683.5864323918464,748.6548287346762,704.5758753570025,7.4260539212984935e-06,6.162590671255295e-06,8.764516632406697e-06,-1.0,-1.0,-1.0,71120.44478341662,12340.85453541547,0.9759665621734587,0.9759665621734587,0.9968652037617555,0.9968652037617555
vp_003,44.82513566913923,41.546309602551325,39.40787649044784,0.0005346140477931081,0.000764996799525417,0.0006996306239524625,191.43165116837883,204.12725568742957,194.9760112753597,0.008824996572157608,0.06131688125548064,0.06085034507740977,6.47032116120792,1.6505410991498102,3.9649390728531633,7.179949649961362e-06,1.0123879623230933e-05,1.0541105765311114e-05,30.436801641307813,30.32694684041939,29.045844817201196,0.0006783713398147875,0.0030131603762248993,0.002918625484855991,926.3988941523179,919.7237046616235,843.6611011449336,4.601876746821099e-07,9.079135452851777e-06,8.51837472085087e-06,-1.0,-1.0,-1.0,67876.22758111254,50.4141700608862,1.0,1.0,0.9926778242677824,0.9926778242677824,38.025702320883575,31.209050630742833,27.467758545808945,0.0005697543157612773,0.0005724932501894048,0.0005321776570959064,382.3530014691574,485.7019002515618,324.49676183713774,0.07722722979972584,0.07457214182605094,0.07750165975051299,1.1789774281036711,0.6506525519340666,0.6222301872732413,-4.5380061999228133e-07,-1.18293298250512e-06,-8.177394669555433e-07,28.223399875854525,31.942407215696978,29.269075888828425,0.002961008480614621,0.00248439550353897,0.002955332775340662,796.5603005523853,1020.3173787334105,856.6788033859974,8.767571222271706e-06,6.1722210180046525e-06,8.733991813002741e-06,-1.0,-1.0,-1.0,72855.71506474954,12892.70514416232,0.9895746455379483,0.9895746455379483,0.9937447873227689,0.9937447873227689,51.082508441635696,44.589873329401016,44.520605700268106,0.0006537727837024545,0.0006427240807122448,0.0006261471786484206,155.20311406914396,149.29169096806362,151.69077029102942,0.005921394821021261,0.005680866377034244,0.00566466213139281,1.2709555637501646,2.8084476275381816,1.821900670259834,6.407462665297135e-06,3.7723048800389375e-06,5.757753229128691e-06,24.16007130641262,23.351504392301756,22.495103562196814,0.0005998388864040197,0.0006108738144500928,0.0005853505308414719,583.7090455309423,545.2927573836882,506.02968427395973,3.598066896424145e-07,3.731668171808064e-07,3.42635243956393e-07,-1.0,-1.0,-1.0,69663.75998584011,11210.664011098736,1.0,1.0,1.0,1.0
vp_004,76.27316020826245,84.62886841931285,79.37245845663753,0.0005985748816847361,0.0005661980742955321,0.0005330217400389939,538.6871281029063,536.0645535771706,536.5369324846711,0.01799720989247908,0.015251639124960319,0.016623226243337397,2.9801910386467307,1.0703959014195212,1.8292744871114648,6.246129754502282e-06,5.800188665367527e-06,5.205346816864519e-06,87.38128355604955,83.43248566620578,85.4547103875535,0.0010380628705076672,0.0010300165107346492,0.0010306420387609606,7635.488715902736,6960.979664441633,7302.507527420644,1.077574523126618e-06,1.0609340123859817e-06,1.0622230120613493e-06,-1.0,-1.0,-1.0,84204.58601365432,673.629448405235,1.0,1.0,1.0,1.0,74.83532015551579,77.34177267163439,74.56719503480365,0.0005405985637361404,0.0005527466779302779,0.00047534614759884544,711.2519302752568,697.5917258008168,702.992627406412,0.06340888553368207,0.06300904641621248,0.06287479060008994,0.6011478779095425,0.9055445023368988,0.5848797993221715,-2.351420885260439e-06,-2.078469086539646e-06,-2.108525404400766e-06,94.12559851692734,92.21080909462148,93.290845691398,0.0023523937039851635,0.002545381228270703,0.0023599670791658524,8859.628296169794,8502.833313884728,8703.181889816233,5.533756138549038e-06,6.478965597232871e-06,5.569444614746604e-06,-1.0,-1.0,-1.0,63968.73615862874,11774.909820448756,0.9803675856307436,0.9803675856307436,0.9832915622389307,0.9832915622389307,37.08800792926001,41.06370563357046,36.90513767294942,0.0007229327198463996,0.0007316429954077164,0.000695064810626871,121.0945905898596,134.3051498627905,112.52028451982376,0.07014352190405697,0.0707047045490391,0.07040857103866531,1.7269758934186468,0.7170157684693427,1.1160878647357797,6.6225428675470675e-06,8.10509071927916e-06,7.2025015378015685e-06,21.504443320955225,24.52887996920702,22.253280155307912,0.0023215139579697537,0.002346917346926171,0.0023194543021168193,462.4410825441758,601.6659525437652,495.2084776706209,5.3894270570483925e-06,5.508021033302977e-06,5.379868259608221e-06,-1.0,-1.0,-1.0,68510.90071717888,11265.117000919761,0.9947753396029259,0.9947753396029259,0.9958202716823407,0.9958202716823407
vp_005,90.2530301453026,91.67827437180705,89.74790808859575,0.0010053293643371073,0.0010070025899284708,0.0009433115774114532,708.0182150025652,710.4900306273836,637.9096141764227,0.07410464285440252,0.12326251884701465,0.1172859655173076,21.323451888018305,17.455884090167054,19.362080850488,8.871699469266912e-07,5.395307151040669e-06,4.9923043096166035e-06,102.13812921566634,96.05985009073484,97.49095941438628,0.003401688740134746,0.0046840722600405595,0.004499525182934058,10432.197439676152,9227.494799454451,9504.487167537514,1.1571486284759517e-05,2.194053293728147e-05,2.0245726871857775e-05,-1.0,-1.0,-1.0,92486.71975076062,7355.438772875763,0.9633507853403142,0.9633507853403142,0.9633507853403142,0.9633507853403142,53.08300719282934,65.171916084377,57.98639345245046,0.0007946644896448406,0.0008496474820093447,0.0007283321990763954,313.21353729136104,445.0964560726297,298.55751392810583,0.07581415416990163,0.09747012359802383,0.08661717884922884,0.3340098032531497,3.388760532866802,2.343880208990178,-1.032493583045452e-06,-1.1817753647745312e-06,-1.0919320045157386e-06,38.05227791788817,40.175918275440836,37.6235871470171,0.0032177754169359293,0.003611550975275162,0.0033818203317415073,1447.9758547401998,1614.1044092749012,1415.5343098091903,1.0354078633837195e-05,1.3043300447010975e-05,1.143670875618024e-05,-1.0,-1.0,-1.0,65649.85608749378,13575.143054965869,0.9849749582637729,0.9849749582637729,0.9849749582637729,0.9849749582637729,60.2051709445929,71.28204182203578,64.53277050585774,0.0007774090599577056,0.0007443914412875416,0.0006712964849838402,332.3448590119838,322.1599466428218,320.5138863289414,0.08394749471312128,0.03855545181580525,0.03912885688812311,1.3532656969430668,3.406250540098817,0.8801237604976302,1.0240455793371584e-05,1.4452732205647059e-06,1.0231202585714216e-05,50.968039400003036,50.424923968026846,50.29424267389197,0.0028662976819153543,0.0014795828241519944,0.0014428134434775368,2597.741040280262,2542.672957181288,2529.510846140336,8.215662401353334e-06,2.1891653335255912e-06,2.081710632679507e-06,-1.0,-1.0,-1.0,60753.69278517491,11370.624019012905,0.9958246346555324,0.9958246346555324,0.9947807933194155,0.9947807933194155
vp_006,135.27774965934063,110.63278748573366,121.38857990802914,0.0011148806818476412,0.0009812435983835414,0.0010220059223826118,760.4729163587285,713.7939963045668,727.058517270352,0.1019750077691187,0.10254779664065328,0.10223691659881166,22.277111568071863,4.4531040907101005,8.391736356238178,1.5333335356369174e-05,2.2224916551535148e-06,1.242105755778423e-05,177.35411320900468,170.3160404196798,174.15971747375622,0.004945503714644912,0.004595158322533959,0.004902923575438152,31454.48147215245,29007.553624238008,30331.607190538587,2.4458006991566626e-05,2.111548000915311e-05,2.4038659586587228e-05,-1.0,-1.0,-1.0,120119.5027236495,26215.774530123857,0.9497907949790795,0.9497907949790795,0.950836820083682,0.950836820083682,73.2648202320231,63.6117953844981,60.63554328763664,0.0008528994909151498,0.0007940128976928501,0.0008029676156857072,836.663345867812,793.8839213963768,815.0995475395794,0.05943414519153795,0.059109062962267526,0.05906643175387149,1.0124027211435207,0.7670570820363181,0.7580275659295029,-1.8714020707285092e-06,-1.3746272260927294e-06,-1.62124421711475e-06,91.44122363748164,106.9389199151125,88.18149809374995,0.0033313358738833523,0.00333533734013101,0.003595615398959531,8361.49738031993,11435.932592610845,7775.976606058027,1.1097798704622159e-05,1.11244751724722e-05,1.2928450097234908e-05,-1.0,-1.0,-1.0,91700.32126220615,27589.936692022762,0.9653878231859884,0.9653878231859884,0.9795663052543786,0.9795663052543786,81.59091261401335,68.77812712655708,73.05572718724049,0.0011619272937714818,0.0011236565485627113,0.0011586795540724525,453.121671801992,447.9801094374002,446.3108449750511,0.0669067627166552,0.06558977133484441,0.06624775813062211,2.9603363669915534,2.6312462526699214,2.2910832590159886,9.388629879999767e-06,3.1993090301063695e-05,3.2122175393654294e-05,54.131283085288224,58.04170256783165,55.91872234174676,0.004242724744160936,0.003878131160255447,0.004430354318610758,2930.195808459611,3368.839236972635,3126.9035083333683,1.800071325471548e-05,1.5039901296144258e-05,1.9628039388432988e-05,-1.0,-1.0,-1.0,83696.73687165127,16336.88472229193,0.9853556485355649,0.9853556485355649,0.9884937238493724,0.9884937238493724
vp_007,116.93534734040372,122.59112958870256,117.22712750965772,0.0009388013005040928,0.0009077195977894359,0.0009049255350744561,743.9808250677758,750.2086387746831,746.794254561293,0.06313003183530322,0.021301035971552303,0.06319266488151336,1.2792448973193509,1.7615007507451519,0.6826965647618966,3.2895521007209166e-06,1.0105482876574755e-05,2.482252341580411e-05,170.01204522009226,174.64129340715914,173.58565486217083,0.0028503856405328464,0.0021132251539104016,0.0028832108897108638,28904.095519918697,30499.581362925448,30131.979573928686,8.124698299755844e-06,4.46572055111964e-06,8.312905034547311e-06,-1.0,-1.0,-1.0,108927.23900967797,99.25977236841413,0.99581589958159,0.99581589958159,1.0,1.0,40.52302386363254,49.909395332838706,41.81130323490517,0.000481601839277058,0.000542560878733762,0.0004442558728722105,336.55446824312236,631.5523639040935,346.00348789901636,0.05803684822272336,0.06068450602210947,0.0593597744339347,0.3208889016901853,0.5642740760756001,0.6733226350614122,-3.9318698163864066e-07,-1.9393265656054985e-07,-2.6293568446167357e-07,53.91199636700267,60.141554175342634,56.54423033705409,0.0015269996220069945,0.0016899847178675127,0.0015522373823787274,2906.503352275709,3617.0065386256733,3197.249984409828,2.331727845609504e-06,2.8560483466257364e-06,2.4094408912539633e-06,-1.0,-1.0,-1.0,64598.27826659867,12324.605001141945,0.995405179615706,0.995405179615706,0.9987468671679198,0.9987468671679198,68.60205043326083,73.33659295305549,68.22683090029994,0.0008560522099640695,0.0007905302914514469,0.0008127820639732813,399.1004844101114,459.538224772942,427.9865004691717,0.06925727926475007,0.06996804890101628,0.06961259349796997,1.0157752216730824,2.9441304470434018,0.3121026562138185,1.8342365441256078e-05,1.242693478817575e-05,1.6753530297580882e-05,70.09124957889854,79.98873481459599,75.93384006288755,0.002754045479784119,0.0025242855933410835,0.0028137110825635324,4912.783267531444,6398.19769723976,5765.948066696188,7.584766504719338e-06,6.372017756749345e-06,7.916970056140844e-06,-1.0,-1.0,-1.0,61569.14204080636,10338.716046758309,0.9979101358411703,0.9979101358411703,0.9989550679205852,0.9989550679205852
vp_008,69.59324757630999,71.82440952202528,68.88515573679204,0.0014312014529434048,0.0014675894227186373,0.0014003642341537052,394.91331654976386,395.9362499259312,395.042932812948,0.09652667211160706,0.09827501375740297,0.09739646092377972,0.8905822209648381,1.3812943575103305,0.7610992495434059,3.0742621144507257e-06,6.74164587032156e-06,4.781768871670884e-06,77.92260629158727,80.22160669866332,79.48399482640414,0.006953262718482493,0.007171194526418542,0.0070141010535987305,6071.932571273716,6435.506181315024,6317.705433563841,4.834786243223855e-05,5.1426030935735255e-05,4.919761359009482e-05,-1.0,-1.0,-1.0,116759.54215593943,33051.726405313966,0.8430962343096234,0.8430962343096234,0.8472803347280334,0.8472803347280334,116.97256665446486,115.09326390607714,113.34484523701096,0.00134146081648253,0.0012357631341882679,0.0011717409586009962,1141.5451860290566,1123.6180794814952,1132.4807784277084,0.1328327833584962,0.13495930785492538,0.13389604190525511,1.417757289951895,0.06812167247588173,0.6987003995772917,5.168030410424409e-06,4.136654722881146e-06,6.418845418942413e-06,193.56870567243698,191.30036950883544,191.10278009473933,0.00817750454125363,0.007876611257851891,0.00779634314821184,37468.84381570253,36595.83137421698,36520.2725599383,6.687158052222376e-05,6.204100490731915e-05,6.07829664846697e-05,-1.0,-1.0,-1.0,99950.87167882055,46408.86955401315,0.8656654151022111,0.8656654151022111,0.871506049228202,0.871506049228202,101.361927102762,105.66817326648493,102.10515051425737,0.0015339637834005347,0.0016703059904945882,0.0014907009544242104,936.2529773084177,937.1662704149097,936.5903650134883,0.09486931243656492,0.0955236000140462,0.09518866751006934,1.8669752203598948,3.748608440720957,2.4180671969889684,5.081047079962385e-06,4.804330124112262e-06,4.848121828350348e-06,126.05225524425018,129.49828838273177,127.00362215499035,0.007152309629119786,0.00785554674328648,0.007177695401020465,15889.171052161595,16769.806694057163,16129.920040487557,5.11555330307996e-05,6.170961463595884e-05,5.1519311269830324e-05,-1.0,-1.0,-1.0,120577.65011202144,44576.18692785376,0.8611691022964509,0.8611691022964509,0.8674321503131524,0.8674321503131524
vp_009,62.48359427074486,57.57100375356483,57.46767733747782,0.0014679705870842747,0.0015499074512933546,0.0018947166134060608,593.6895156277567,589.7992097012087,590.596021789439,0.04775699879120996,0.04676200999603938,0.04848784151177546,1.6571652059359931,0.849183679833238,0.3792912775805385,1.0601899263372059e-05,9.746738558653641e-06,1.8409353561886107e-05,86.50833553957915,83.1297341925129,85.5830088464639,0.005478061935005693,0.005593211210819552,0.006617753243043518,7483.692117828413,6910.552706917849,7324.451403213919,3.000916256375832e-05,3.1284011648837515e-05,4.3794657985813e-05,-1.0,-1.0,-1.0,91093.80997302037,1742.347002659482,0.9749216300940439,0.9749216300940439,0.955067920585162,0.955067920585162,28.779368564290284,27.461065626277904,25.72772472001476,0.0016432498493851807,0.0011406441481077068,0.0017378715396010463,300.50214035011436,270.21153615906087,283.69532922987486,0.06836767288822619,0.06092157116741687,0.0674631390957162,0.39523329122764733,0.7072788370524925,0.4813898789844773,-5.45146695989418e-07,-4.088350802360839e-07,-4.763079604701351e-07,29.43655034110027,24.722555869023214,27.421469498000356,0.007196329618625902,0.005491394674749551,0.0075101862590075145,866.5104959841303,611.2047686969742,751.9369894297638,5.178715997991242e-05,3.015541547386772e-05,5.6402897644985286e-05,-1.0,-1.0,-1.0,77410.5958413564,9530.382133448085,0.9386477462437396,0.9386477462437396,0.9649415692821369,0.9649415692821369,41.05454769808968,38.96555654412038,37.504849465095226,0.002274406681259458,0.0015495301745606102,0.002275852580996769,450.93113023807007,460.73488499702796,455.76350717984855,0.06670637874253406,0.0477494431680694,0.06542332931239772,0.5643505161990793,1.4814935106951703,0.8126565040153511,3.3376104702580483e-06,4.6697648310468805e-06,3.8726912580503346e-06,47.524776879288964,50.45558722713734,49.29356775804198,0.008159633500765623,0.00554532141739012,0.00812932692659061,2258.604417426199,2545.766282435265,2429.8558223166756,6.657961886681665e-05,3.075058962216556e-05,6.608595627939115e-05,-1.0,-1.0,-1.0,84911.43927205275,8397.486015991075,0.8797071129707112,0.8797071129707112,0.9675732217573222,0.9675732217573222
vp_010,50.658754954767055,41.90345102309868,45.26375852233731,0.0006655041274347953,0.0006358801898869895,0.0006220294521874143,257.60132626696486,236.34588840482962,246.24397035269612,0.061454589834172436,0.06196339185695347,0.061708831484271726,5.125976840314829,0.554941795543582,2.366757927667615,3.998733159404389e-06,4.83472844752971e-06,4.232073587890995e-06,36.95700947168025,38.13487864278724,37.048378560872905,0.003005862587503356,0.0030242894466733852,0.0030135034692107586,1365.8205490898638,1454.2689691001106,1372.5823539897472,9.03520989495237e-06,9.14632665726001e-06,9.081203158945277e-06,-1.0,-1.0,-1.0,63100.23022801772,1156.152565480289,0.99581589958159,0.99581589958159,0.99581589958159,0.99581589958159,29.742384154892193,26.200394069091807,26.73481148785483,0.000513712133791904,0.000476844636725874,0.00046207659564956484,181.02995298861993,106.98444414080704,114.01367392546112,0.07708994416894115,0.0632340705447621,0.07009575470686831,0.7610441698339478,0.7714677545266712,0.6125649614185021,-2.4804901855893013e-07,-3.858682330474389e-07,-3.168912394129173e-07,15.359563853958363,14.943894085257133,14.671622740751264,0.002812100748068971,0.002591465435577388,0.0026511928775064778,235.91620178382428,223.31997043138313,215.25651384692964,7.907910617290066e-06,6.7156931037923e-06,7.028823673741078e-06,-1.0,-1.0,-1.0,69494.6879168779,11721.481185471735,0.9941593658740092,0.9941593658740092,0.9933249895702962,0.9933249895702962,56.091128397559984,52.02942848468842,53.72617497899493,0.0008561115195866851,0.0007863333813063868,0.000836030077759762,258.87797505619517,265.8198630326184,261.98711250008444,0.06957590999145763,0.0700235587231772,0.06979915769635686,1.7953546379300067,4.333903660528294,2.2938145650596584,1.4962828182300767e-06,1.0888634053348713e-06,1.283186901244288e-06,40.3156838396375,43.51396560470889,41.71570103988663,0.0037234025032795654,0.0033295224728063038,0.0037370569725156616,1625.3543634576083,1893.4652026477884,1740.1997132491983,1.3863726201428535e-05,1.1085719896922205e-05,1.3965594815827922e-05,-1.0,-1.0,-1.0,64067.303402182566,9472.536492924244,0.9937369519832986,0.9937369519832986,0.9958246346555324,0.9958246346555324
