"Horizontal_mean_delta_l","Horizontal_mean_delta_r","Horizontal_mean_geschwindigkeit_l","Horizontal_mean_geschwindigkeit_r","Horizontal_mean_geschwindigkeit_m","Horizontal_max_delta_l","Horizontal_max_delta_r","Horizontal_max_geschwindigkeit_l","Horizontal_max_geschwindigkeit_r","Horizontal_max_geschwindigkeit_m","Horizontal_min_delta_l","Horizontal_min_delta_r","Horizontal_min_delta_m","Horizontal_min_geschwindigkeit_l","Horizontal_min_geschwindigkeit_r","Horizontal_min_geschwindigkeit_m","Horizontal_standardabweichung_delta_l","Horizontal_standardabweichung_geschwindigkeit_l","Horizontal_standardabweichung_geschwindigkeit_r","Horizontal_standardabweichung_geschwindigkeit_m","Horizontal_varianz_delta_l","Horizontal_varianz_geschwindigkeit_r","Horizontal_tendenz_l","Horizontal_tendenz_r","Horizontal_tendenz_m","Horizontal_Kovarianz_blick_x","Horizontal_Kovarianz_blick_y","Horizontal_links_verhaeltnis_x","Horizontal_rechts_verhaeltnis_x","Horizontal_sacc_m","Horizontal_sacc_rate_m","Horizontal_sacc_l","Liegende_8_langsam_mean_delta_l","Liegende_8_langsam_mean_geschwindigkeit_l","Liegende_8_langsam_mean_geschwindigkeit_r","Liegende_8_langsam_mean_geschwindigkeit_m","Liegende_8_langsam_max_delta_l","Liegende_8_langsam_max_delta_r","Liegende_8_langsam_max_geschwindigkeit_l","Liegende_8_langsam_max_geschwindigkeit_r","Liegende_8_langsam_max_geschwindigkeit_m","Liegende_8_langsam_min_delta_l","Liegende_8_langsam_min_delta_r","Liegende_8_langsam_min_delta_m","Liegende_8_langsam_min_geschwindigkeit_l","Liegende_8_langsam_min_geschwindigkeit_r","Liegende_8_langsam_min_geschwindigkeit_m","Liegende_8_langsam_standardabweichung_delta_l","Liegende_8_langsam_standardabweichung_geschwindigkeit_l","Liegende_8_langsam_standardabweichung_geschwindigkeit_r","Liegende_8_langsam_standardabweichung_geschwindigkeit_m","Liegende_8_langsam_varianz_delta_l","Liegende_8_langsam_tendenz_l","Liegende_8_langsam_Kovarianz_blick_x","Liegende_8_langsam_Kovarianz_blick_y","Liegende_8_langsam_links_verhaeltnis_x","Liegende_8_langsam_rechts_verhaeltnis_x","Liegende_8_langsam_sacc_m","Liegende_8_langsam_sacc_rate_m","Liegende_8_langsam_sacc_l","Liegende_8_schnell_mean_delta_l","Liegende_8_schnell_mean_delta_r","Liegende_8_schnell_mean_geschwindigkeit_l","Liegende_8_schnell_mean_geschwindigkeit_r","Liegende_8_schnell_mean_geschwindigkeit_m","Liegende_8_schnell_max_delta_l","Liegende_8_schnell_max_delta_r","Liegende_8_schnell_max_delta_m","Liegende_8_schnell_max_geschwindigkeit_l","Liegende_8_schnell_max_geschwindigkeit_r","Liegende_8_schnell_max_geschwindigkeit_m","Liegende_8_schnell_min_delta_l","Liegende_8_schnell_min_delta_r","Liegende_8_schnell_min_delta_m","Liegende_8_schnell_min_geschwindigkeit_l","Liegende_8_schnell_min_geschwindigkeit_r","Liegende_8_schnell_min_geschwindigkeit_m","Liegende_8_schnell_standardabweichung_delta_l","Liegende_8_schnell_standardabweichung_geschwindigkeit_l","Liegende_8_schnell_standardabweichung_geschwindigkeit_r","Liegende_8_schnell_varianz_delta_l","Liegende_8_schnell_tendenz_l","Liegende_8_schnell_tendenz_r","Liegende_8_schnell_tendenz_m","Liegende_8_schnell_Kovarianz_blick_x","Liegende_8_schnell_Kovarianz_blick_y","Liegende_8_schnell_links_verhaeltnis_x","Liegende_8_schnell_rechts_verhaeltnis_x","Liegende_8_schnell_sacc_m","Liegende_8_schnell_sacc_l"
61.2209119405,43.8299860167,6.155431E-4,5.921005E-4,5.63481E-4,229.1948886661,180.1744245867,0.0648663267,0.0612748342,0.0630619915,1.7729344122,2.6615223042,0.7649119741,5.462E-6,2.39282348066238E-6,3.60908177186794E-6,47.2524323921,0.0021534749,0.0020515734,0.0020935082,2232.792366968,4.209E-6,-1.0,-1.0,-1.0,64763.7320377365,272.8059356346,0.9989550679,0.9989550679,313.0,412.0,342.0,99.8065901374,7.030268E-4,0.0011601801,0.001007085,456.7979858546,425.9219038907,0.0735815204,0.0648313145,0.0665868446,0.7256960547,0.3960396665,0.2176127109,-1.00666409815819E-6,-4.29154710399735E-7,-4.57145777224021E-7,96.108693772,0.0035796807,0.0045449558,0.0046045494,9236.8810185667,-1.0,61582.9274125272,8610.077458913,0.9787234043,0.9557780559,469.0,480.0,702.0,48.7123736227,65.5955864503,9.120931E-4,9.426399E-4,9.612242E-4,180.5471595144,939.0617986279,492.2265443592,0.0715383461,0.065837998,0.0687163849,5.9592033684,3.2801078611,0.259893264,9.40810579369337E-6,2.17059304443155E-6,5.22155999343047E-6,27.4185777672,0.0033763297,0.0033265286,751.7784067736,-1.0,-1.0,-1.0,72419.7073249106,10901.3260780812,0.987473904,0.9519832985,545.0,578.0
35.8624432738,38.7657245031,8.279984E-4,6.84157E-4,8.067161E-4,123.2951724429,152.5157009933,0.0510671665,0.0470741283,0.0503867741,1.0083839205,1.5991429799,1.7228557661,2.19265599276636E-6,1.02343103688247E-6,8.74368857954085E-7,23.4640115882,0.003684743,0.0027749253,0.0036627582,550.559839812,7.70021043544687E-6,-1.0,-1.0,-1.0,67101.0325116767,982.3254389023,0.9717868339,0.9958202717,274.0,324.0,314.0,30.9010980078,5.080215E-4,4.615602E-4,4.756503E-4,839.4276490856,836.7234574324,0.0846696504,0.0847340302,0.0847014417,0.8792774377,0.2922626925,0.3897689382,-1.32343310901413E-5,-1.31495557891341E-5,-1.31827780343031E-5,66.816346021,0.0029969506,0.0025329995,0.0029057124,4464.4240955949,-1.0,73299.5291413909,13472.0585538782,0.9962421712,0.9958246347,210.0,334.0,272.0,38.0100734486,36.9962473489,7.944483E-4,7.50557E-4,8.156016E-4,203.5322624175,207.1274539884,205.2730968813,0.048724747,0.0494951445,0.0491098614,0.5493934325,3.7347641579,1.4617286484,1.2829074967001E-5,8.83254482234167E-6,1.0802E-5,26.1454858894,0.0027250787,0.0024824566,683.5864323918,-1.0,-1.0,-1.0,71120.4447834166,12340.8545354155,0.9759665622,0.9968652038,544.0,556.0
44.8251356691,41.5463096026,5.34614E-4,7.649968E-4,6.996306E-4,191.4316511684,204.1272556874,0.0088249966,0.0613168813,0.0608503451,6.4703211612,1.6505410991,3.9649390729,7.17994964996136E-6,1.01238796232309E-5,1.05411057653111E-5,30.4368016413,6.783713E-4,0.0030131604,0.0029186255,926.3988941523,9.07913545285178E-6,-1.0,-1.0,-1.0,67876.2275811125,50.4141700609,1.0,0.9926778243,302.0,370.0,389.0,38.0257023209,5.697543E-4,5.724933E-4,5.321777E-4,382.3530014692,485.7019002516,0.0772272298,0.0745721418,0.0775016598,1.1789774281,0.6506525519,0.6222301873,-4.53800619992281E-7,-1.18293298250512E-6,-8.17739466955543E-7,28.2233998759,0.0029610085,0.0024843955,0.0029553328,796.5603005524,-1.0,72855.7150647495,12892.7051441623,0.9895746455,0.9937447873,454.0,577.0,774.0,51.0825084416,44.5898733294,6.537728E-4,6.427241E-4,6.261472E-4,155.2031140691,149.2916909681,151.690770291,0.0059213948,0.0056808664,0.0056646621,1.2709555638,2.8084476275,1.8219006703,6.40746266529714E-6,3.77230488003894E-6,5.75775322912869E-6,24.1600713064,5.998389E-4,6.108738E-4,583.7090455309,-1.0,-1.0,-1.0,69663.7599858401,11210.6640110987,1.0,1.0,497.0,509.0
76.2731602083,84.6288684193,5.985749E-4,5.661981E-4,5.330217E-4,538.6871281029,536.0645535772,0.0179972099,0.0152516391,0.0166232262,2.9801910386,1.0703959014,1.8292744871,6.24612975450228E-6,5.80018866536753E-6,5.20534681686452E-6,87.381283556,0.0010380629,0.0010300165,0.001030642,7635.4887159027,1.06093401238598E-6,-1.0,-1.0,-1.0,84204.5860136543,673.6294484052,1.0,1.0,279.0,379.0,328.0,74.8353201555,5.405986E-4,5.527467E-4,4.753461E-4,711.2519302753,697.5917258008,0.0634088855,0.0630090464,0.0628747906,0.6011478779,0.9055445023,0.5848797993,-2.35142088526044E-6,-2.07846908653965E-6,-2.10852540440077E-6,94.1255985169,0.0023523937,0.0025453812,0.0023599671,8859.6282961698,-1.0,63968.7361586287,11774.9098204488,0.9803675856,0.9832915622,292.0,564.0,449.0,37.0880079293,41.0637056336,7.229327E-4,7.31643E-4,6.950648E-4,121.0945905899,134.3051498628,112.5202845198,0.0701435219,0.0707047045,0.070408571,1.7269758934,0.7170157685,1.1160878647,6.62254286754707E-6,8.10509071927916E-6,7.20250153780157E-6,21.504443321,0.002321514,0.0023469173,462.4410825442,-1.0,-1.0,-1.0,68510.9007171789,11265.1170009198,0.9947753396,0.9958202717,591.0,601.0
90.2530301453,91.6782743718,0.0010053294,0.0010070026,9.433116E-4,708.0182150026,710.4900306274,0.0741046429,0.1232625188,0.1172859655,21.323451888,17.4558840902,19.3620808505,8.87169946926691E-7,5.39530715104067E-6,4.9923043096166E-6,102.1381292157,0.0034016887,0.0046840723,0.0044995252,10432.1974396762,2.19405329372815E-5,-1.0,-1.0,-1.0,92486.7197507606,7355.4387728758,0.9633507853,0.9633507853,389.0,489.0,451.0,53.0830071928,7.946645E-4,8.496475E-4,7.283322E-4,313.2135372914,445.0964560726,0.0758141542,0.0974701236,0.0866171788,0.3340098033,3.3887605329,2.343880209,-1.03249358304545E-6,-1.18177536477453E-6,-1.09193200451574E-6,38.0522779179,0.0032177754,0.003611551,0.0033818203,1447.9758547402,-1.0,65649.8560874938,13575.1430549659,0.9849749583,0.9849749583,676.0,877.0,907.0,60.2051709446,71.282041822,7.774091E-4,7.443914E-4,6.712965E-4,332.344859012,322.1599466428,320.5138863289,0.0839474947,0.0385554518,0.0391288569,1.3532656969,3.4062505401,0.8801237605,1.02404557933716E-5,1.44527322056471E-6,1.02312025857142E-5,50.9680394,0.0028662977,0.0014795828,2597.7410402803,-1.0,-1.0,-1.0,60753.6927851749,11370.6240190129,0.9958246347,0.9947807933,441.0,500.0
135.2777496593,110.6327874857,0.0011148807,9.812436E-4,0.0010220059,760.4729163587,713.7939963046,0.1019750078,0.1025477966,0.1022369166,22.2771115681,4.4531040907,8.3917363562,1.53333353563692E-5,2.22249165515351E-6,1.24210575577842E-5,177.354113209,0.0049455037,0.0045951583,0.0049029236,31454.4814721524,2.11154800091531E-5,-1.0,-1.0,-1.0,120119.502723649,26215.7745301239,0.949790795,0.9508368201,373.0,485.0,384.0,73.264820232,8.528995E-4,7.940129E-4,8.029676E-4,836.6633458678,793.8839213964,0.0594341452,0.059109063,0.0590664318,1.0124027211,0.767057082,0.7580275659,-1.87140207072851E-6,-1.37462722609273E-6,-1.62124421711475E-6,91.4412236375,0.0033313359,0.0033353373,0.0035956154,8361.4973803199,-1.0,91700.3212622062,27589.9366920228,0.9653878232,0.9795663053,601.0,882.0,764.0,81.590912614,68.7781271266,0.0011619273,0.0011236565,0.0011586796,453.121671802,447.9801094374,446.3108449751,0.0669067627,0.0655897713,0.0662477581,2.960336367,2.6312462527,2.291083259,9.38862987999977E-6,3.19930903010637E-5,3.21221753936543E-5,54.1312830853,0.0042427247,0.0038781312,2930.1958084596,-1.0,-1.0,-1.0,83696.7368716513,16336.8847222919,0.9853556485,0.9884937238,524.0,549.0
116.9353473404,122.5911295887,9.388013E-4,9.077196E-4,9.049255E-4,743.9808250678,750.2086387747,0.0631300318,0.021301036,0.0631926649,1.2792448973,1.7615007507,0.6826965648,3.28955210072092E-6,1.01054828765748E-5,2.48225234158041E-5,170.0120452201,0.0028503856,0.0021132252,0.0028832109,28904.0955199187,4.46572055111964E-6,-1.0,-1.0,-1.0,108927.239009678,99.2597723684,0.9958158996,1.0,308.0,343.0,365.0,40.5230238636,4.816018E-4,5.425609E-4,4.442559E-4,336.5544682431,631.5523639041,0.0580368482,0.060684506,0.0593597744,0.3208889017,0.5642740761,0.6733226351,-3.93186981638641E-7,-1.9393265656055E-7,-2.62935684461674E-7,53.911996367,0.0015269996,0.0016899847,0.0015522374,2906.5033522757,-1.0,64598.2782665987,12324.6050011419,0.9954051796,0.9987468672,377.0,597.0,712.0,68.6020504333,73.3365929531,8.560522E-4,7.905303E-4,8.127821E-4,399.1004844101,459.5382247729,427.9865004692,0.0692572793,0.0699680489,0.0696125935,1.0157752217,2.944130447,0.3121026562,1.83423654412561E-5,1.24269347881758E-5,1.67535302975809E-5,70.0912495789,0.0027540455,0.0025242856,4912.7832675315,-1.0,-1.0,-1.0,61569.1420408064,10338.7160467583,0.9979101358,0.9989550679,464.0,473.0
69.5932475763,71.824409522,0.0014312015,0.0014675894,0.0014003642,394.9133165498,395.9362499259,0.0965266721,0.0982750138,0.0973964609,0.890582221,1.3812943575,0.7610992495,3.07426211445073E-6,6.74164587032156E-6,4.78176887167088E-6,77.9226062916,0.0069532627,0.0071711945,0.0070141011,6071.9325712737,5.1426E-5,-1.0,-1.0,-1.0,116759.542155939,33051.726405314,0.8430962343,0.8472803347,202.0,258.0,249.0,116.9725666545,0.0013414608,0.0012357631,0.001171741,1141.5451860291,1123.6180794815,0.1328327834,0.1349593079,0.1338960419,1.41775729,0.0681216725,0.6987003996,5.168E-6,4.13665472288115E-6,6.41884541894241E-6,193.5687056724,0.0081775045,0.0078766113,0.0077963431,37468.8438157025,-1.0,99950.8716788206,46408.8695540132,0.8656654151,0.8715060492,305.0,482.0,427.0,101.3619271028,105.6681732665,0.0015339638,0.001670306,0.001490701,936.2529773084,937.1662704149,936.5903650135,0.0948693124,0.0955236,0.0951886675,1.8669752204,3.7486084407,2.418067197,5.081E-6,4.80433012411226E-6,4.84812182835035E-6,126.0522552443,0.0071523096,0.0078555467,15889.1710521616,-1.0,-1.0,-1.0,120577.650112021,44576.1869278538,0.8611691023,0.8674321503,218.0,292.0
62.4835942707,57.5710037536,0.0014679706,0.0015499075,0.0018947166,593.6895156278,589.7992097012,0.0477569988,0.04676201,0.0484878415,1.6571652059,0.8491836798,0.3792912776,1.06018992633721E-5,9.74673855865364E-6,1.84093535618861E-5,86.5083355396,0.0054780619,0.0055932112,0.0066177532,7483.6921178284,3.1284E-5,-1.0,-1.0,-1.0,91093.8099730204,1742.3470026595,0.9749216301,0.9550679206,366.0,417.0,457.0,28.7793685643,0.0016432498,0.0011406441,0.0017378715,300.5021403501,270.2115361591,0.0683676729,0.0609215712,0.0674631391,0.3952332912,0.7072788371,0.481389879,-5.45146695989418E-7,-4.08835080236084E-7,-4.76307960470135E-7,29.4365503411,0.0071963296,0.0054913947,0.0075101863,866.5104959841,-1.0,77410.5958413564,9530.3821334481,0.9386477462,0.9649415693,345.0,546.0,522.0,41.0545476981,38.9655565441,0.0022744067,0.0015495302,0.0022758526,450.9311302381,460.734884997,455.7635071798,0.0667063787,0.0477494432,0.0654233293,0.5643505162,1.4814935107,0.812656504,3.33761047025805E-6,4.66976483104688E-6,3.87269125805033E-6,47.5247768793,0.0081596335,0.0055453214,2258.6044174262,-1.0,-1.0,-1.0,84911.4392720528,8397.4860159911,0.879707113,0.9675732218,554.0,639.0
50.6587549548,41.9034510231,6.655041E-4,6.358802E-4,6.220295E-4,257.601326267,236.3458884048,0.0614545898,0.0619633919,0.0617088315,5.1259768403,0.5549417955,2.3667579277,3.99873315940439E-6,4.83472844752971E-6,4.232073587891E-6,36.9570094717,0.0030058626,0.0030242894,0.0030135035,1365.8205490899,9.14632665726001E-6,-1.0,-1.0,-1.0,63100.2302280177,1156.1525654803,0.9958158996,0.9958158996,240.0,316.0,284.0,29.7423841549,5.137121E-4,4.768446E-4,4.620766E-4,181.0299529886,106.9844441408,0.0770899442,0.0632340705,0.0700957547,0.7610441698,0.7714677545,0.6125649614,-2.48E-7,-3.85868233047439E-7,-3.16891239412917E-7,15.359563854,0.0028121007,0.0025914654,0.0026511929,235.9162017838,-1.0,69494.6879168779,11721.4811854717,0.9941593659,0.9933249896,256.0,490.0,367.0,56.0911283976,52.0294284847,8.561115E-4,7.863334E-4,8.360301E-4,258.8779750562,265.8198630326,261.9871125001,0.06957591,0.0700235587,0.0697991577,1.7953546379,4.3339036605,2.2938145651,1.49628281823008E-6,1.08886340533487E-6,1.28318690124429E-6,40.3156838396,0.0037234025,0.0033295225,1625.3543634576,-1.0,-1.0,-1.0,64067.3034021826,9472.5364929243,0.993736952,0.9958246347,478.0,482.0
