Horizontal_mean_delta_l,Horizontal_mean_delta_r,Horizontal_mean_delta_m,Horizontal_mean_geschwindigkeit_l,Horizontal_mean_geschwindigkeit_r,Horizontal_mean_geschwindigkeit_m,Horizontal_max_delta_l,Horizontal_max_delta_r,Horizontal_max_delta_m,Horizontal_max_geschwindigkeit_l,Horizontal_max_geschwindigkeit_r,Horizontal_max_geschwindigkeit_m,Horizontal_min_delta_l,Horizontal_min_delta_r,Horizontal_min_delta_m,Horizontal_min_geschwindigkeit_l,Horizontal_min_geschwindigkeit_r,Horizontal_min_geschwindigkeit_m,Horizontal_standardabweichung_delta_l,Horizontal_standardabweichung_delta_r,Horizontal_standardabweichung_delta_m,Horizontal_standardabweichung_geschwindigkeit_l,Horizontal_standardabweichung_geschwindigkeit_r,Horizontal_standardabweichung_geschwindigkeit_m,Horizontal_varianz_delta_l,Horizontal_varianz_delta_r,Horizontal_varianz_delta_m,Horizontal_varianz_geschwindigkeit_l,Horizontal_varianz_geschwindigkeit_r,Horizontal_varianz_geschwindigkeit_m,Horizontal_tendenz_l,Horizontal_tendenz_r,Horizontal_tendenz_m,Horizontal_Kovarianz_blick_x,Horizontal_Kovarianz_blick_y,Horizontal_links_verhaeltnis_x,Horizontal_links_verhaeltnis_y,Horizontal_rechts_verhaeltnis_x,Horizontal_rechts_verhaeltnis_y,Liegende_8_langsam_mean_delta_l,Liegende_8_langsam_mean_delta_r,Liegende_8_langsam_mean_delta_m,Liegende_8_langsam_mean_geschwindigkeit_l,Liegende_8_langsam_mean_geschwindigkeit_r,Liegende_8_langsam_mean_geschwindigkeit_m,Liegende_8_langsam_max_delta_l,Liegende_8_langsam_max_delta_r,Liegende_8_langsam_max_delta_m,Liegende_8_langsam_max_geschwindigkeit_l,Liegende_8_langsam_max_geschwindigkeit_r,Liegende_8_langsam_max_geschwindigkeit_m,Liegende_8_langsam_min_delta_l,Liegende_8_langsam_min_delta_r,Liegende_8_langsam_min_delta_m,Liegende_8_langsam_min_geschwindigkeit_l,Liegende_8_langsam_min_geschwindigkeit_r,Liegende_8_langsam_min_geschwindigkeit_m,Liegende_8_langsam_standardabweichung_delta_l,Liegende_8_langsam_standardabweichung_delta_r,Liegende_8_langsam_standardabweichung_delta_m,Liegende_8_langsam_standardabweichung_geschwindigkeit_l,Liegende_8_langsam_standardabweichung_geschwindigkeit_r,Liegende_8_langsam_standardabweichung_geschwindigkeit_m,Liegende_8_langsam_varianz_delta_l,Liegende_8_langsam_varianz_delta_r,Liegende_8_langsam_varianz_delta_m,Liegende_8_langsam_varianz_geschwindigkeit_l,Liegende_8_langsam_varianz_geschwindigkeit_r,Liegende_8_langsam_varianz_geschwindigkeit_m,Liegende_8_langsam_tendenz_l,Liegende_8_langsam_tendenz_r,Liegende_8_langsam_tendenz_m,Liegende_8_langsam_Kovarianz_blick_x,Liegende_8_langsam_Kovarianz_blick_y,Liegende_8_langsam_links_verhaeltnis_x,Liegende_8_langsam_links_verhaeltnis_y,Liegende_8_langsam_rechts_verhaeltnis_x,Liegende_8_langsam_rechts_verhaeltnis_y,Liegende_8_schnell_mean_delta_l,Liegende_8_schnell_mean_delta_r,Liegende_8_schnell_mean_delta_m,Liegende_8_schnell_mean_geschwindigkeit_l,Liegende_8_schnell_mean_geschwindigkeit_r,Liegende_8_schnell_mean_geschwindigkeit_m,Liegende_8_schnell_max_delta_l,Liegende_8_schnell_max_delta_r,Liegende_8_schnell_max_delta_m,Liegende_8_schnell_max_geschwindigkeit_l,Liegende_8_schnell_max_geschwindigkeit_r,Liegende_8_schnell_max_geschwindigkeit_m,Liegende_8_schnell_min_delta_l,Liegende_8_schnell_min_delta_r,Liegende_8_schnell_min_delta_m,Liegende_8_schnell_min_geschwindigkeit_l,Liegende_8_schnell_min_geschwindigkeit_r,Liegende_8_schnell_min_geschwindigkeit_m,Liegende_8_schnell_standardabweichung_delta_l,Liegende_8_schnell_standardabweichung_delta_r,Liegende_8_schnell_standardabweichung_delta_m,Liegende_8_schnell_standardabweichung_geschwindigkeit_l,Liegende_8_schnell_standardabweichung_geschwindigkeit_r,Liegende_8_schnell_standardabweichung_geschwindigkeit_m,Liegende_8_schnell_varianz_delta_l,Liegende_8_schnell_varianz_delta_r,Liegende_8_schnell_varianz_delta_m,Liegende_8_schnell_varianz_geschwindigkeit_l,Liegende_8_schnell_varianz_geschwindigkeit_r,Liegende_8_schnell_varianz_geschwindigkeit_m,Liegende_8_schnell_tendenz_l,Liegende_8_schnell_tendenz_r,Liegende_8_schnell_tendenz_m,Liegende_8_schnell_Kovarianz_blick_x,Liegende_8_schnell_Kovarianz_blick_y,Liegende_8_schnell_links_verhaeltnis_x,Liegende_8_schnell_links_verhaeltnis_y,Liegende_8_schnell_rechts_verhaeltnis_x,Liegende_8_schnell_rechts_verhaeltnis_y,sacc_horizontal_l,sacc_horizontal_m,sacc_horizontal_r,sacc_langsam_l,sacc_langsam_m,sacc_langsam_r,sacc_rate_horizontal_l,sacc_rate_horizontal_m,sacc_rate_horizontal_r,sacc_rate_langsam_l,sacc_rate_langsam_m,sacc_rate_langsam_r,sacc_rate_schnell_l,sacc_rate_schnell_m,sacc_rate_schnell_r,sacc_schnell_l,sacc_schnell_m,sacc_schnell_r
61.4668596086,43.8742051062,41.2216866854,0.000617472,0.000594455,0.0005655718,229.1948886661,180.1744245867,174.0585856358,0.0648663267,0.0612748342,0.0630619915,1.7729344122,2.6615223042,0.7649119741,5.89062535181909E-06,0.000003221,4.12634528566987E-06,47.3601729602,29.2190963362,27.9777601904,0.0021623137,0.0020599979,0.002102173,2242.9859828248,853.7555907013,782.7550652691,4.67560058717935E-06,4.24359125715404E-06,4.41913111927143E-06,-1,-1,-1,65307.726925401,274.2590016831,0.9989462592,0.9989462592,0.9989462592,0.9989462592,100.0631333797,101.5844557352,94.048022526,0.0007045042,0.0011630457,0.0010099865,456.7979858546,425.9219038907,438.7754279814,0.0735815204,0.0648313145,0.0665868446,0.7256960547,0.3960396665,0.2176127109,-1.08432329819893E-06,-3.67303725318418E-07,-4.72558707466717E-07,96.2267101981,97.6663804278,97.7148704063,0.0035871827,0.0045545759,0.0046144647,9259.5797555499,9538.7218658636,9548.1958985279,1.28678796023514E-05,2.07441614520065E-05,2.12932842579515E-05,-1,-1,-1,61839.2730310888,8640.104202437,0.978634269,0.978634269,0.9555927943,0.9555927943,48.8670779248,65.6194604978,48.0939621136,0.0009156269,0.0009454497,0.0009651895,180.5471595144,939.0617986279,492.2265443592,0.0715383461,0.065837998,0.0687163849,5.9592033684,3.2801078611,0.259893264,9.3194707954662E-06,2.01272450326209E-06,5.63963572267707E-06,27.4469793925,48.6716303004,32.934013924,0.0033904367,0.0033406342,0.0038167193,753.3366777731,2368.9275961019,1084.6492731437,1.14950610259302E-05,1.11598371403181E-05,1.45673458906073E-05,-1,-1,-1,73034.139059912,10994.0814804705,0.9873684211,0.9873684211,0.9515789474,0.9515789474,308,167,190,790,993,1296,0.0770770771,0.0417917918,0.0475475475,0.1581581582,0.1987987988,0.2594594595,0.1483983984,0.1358858859,0.2304804805,593,543,921
36.016890743,38.9043071321,35.7839351364,0.0008323898,0.0006866254,0.0008109453,123.2951724429,152.5157009933,135.5939944773,0.0510671665,0.0470741283,0.0503867741,1.0083839205,1.5991429799,1.7228557661,1.87933337878392E-06,1.89163794718533E-06,1.66283452481729E-06,23.4952578997,22.5857700213,22.3020622799,0.003700396,0.0027864835,0.0036783215,552.0271437731,510.1170074555,497.3819819356,1.36929307224255E-05,7.76449020967822E-06,0.00001353,-1,-1,-1,67667.1266240332,990.6649756298,0.9715489989,0.9715489989,0.9957850369,0.9957850369,30.6319255323,30.5743716175,29.2045583455,0.0005091411,0.0004625417,0.0004767552,839.4276490856,836.7234574324,837.8413406159,0.0846696504,0.0847340302,0.0847014417,0.8792774377,0.2922626925,0.3897689382,-1.32151866005329E-05,-1.30538577979322E-05,-1.31254162769978E-05,64.9954626504,64.9674919032,65.0464889516,0.0030031971,0.0025382713,0.0029117728,4224.4101651373,4220.7750041967,4231.0457249248,9.01919294260349E-06,6.4428210863343E-06,8.47842076636306E-06,-1,-1,-1,73395.0175199243,13468.3325157498,0.9962264151,0.9962264151,0.9958071279,0.9958071279,38.1373846652,37.112625309,35.9276080694,0.000797883,0.0007537126,0.0008193353,203.5322624175,207.1274539884,205.2730968813,0.048724747,0.0494951445,0.0491098614,0.5493934325,3.7347641579,1.4617286484,1.59608057234293E-05,1.1806754600265E-05,1.38113309627525E-05,26.1973468676,27.4433183636,26.6136935723,0.0027365531,0.0024926712,0.0029729822,686.3009828988,753.1357228047,708.2886855598,7.48872294038881E-06,6.21340980789309E-06,8.83862300093892E-06,-1,-1,-1,71719.601414171,12440.8181416539,0.9757639621,0.9757639621,0.9968387777,0.9968387777,283,177,197,295,233,268,0.0708208208,0.0442942943,0.0492992993,0.0590590591,0.0466466466,0.0536536537,0.0943443443,0.0598098098,0.0808308308,377,239,323
44.7996382749,41.5903731878,39.4427202496,0.0005354111,0.0007675734,0.0007023062,191.4316511684,204.1272556874,194.9760112754,0.0088249966,0.0613168813,0.0608503451,6.4703211612,1.6505410991,3.9649390729,7.17994964996136E-06,1.27042120562774E-05,1.22584084812607E-05,30.4891447713,30.3996517186,29.090554996,0.0006810015,0.0030257617,0.0029308328,929.5879488879,924.13882461,846.2603899748,4.63763025622987E-07,9.15523413969014E-06,8.58978107820767E-06,-1,-1,-1,68439.6768338674,50.5816724848,1,1,0.9926160338,0.9926160338,37.9898929402,31.1988714099,27.4298196623,0.0005701525,0.0005732452,0.0005327934,382.3530014692,485.7019002516,324.4967618371,0.0772272298,0.0745721418,0.0775016598,1.1789774281,0.6506525519,0.6222301873,-4.2123823728482E-07,-1.18719364808751E-06,-7.9865842786179E-07,28.2652513288,31.9777465374,29.3061947799,0.0029669788,0.0024894726,0.0029613835,798.9244326794,1022.576273611,858.8530524764,0.000008803,6.19747376235644E-06,8.76979199664396E-06,-1,-1,-1,73160.3674045407,12945.0818046605,0.9895309883,0.9895309883,0.993718593,0.993718593,51.0068963657,44.6389967871,44.4910721877,0.0006562283,0.0006447373,0.000628684,155.2031140691,149.2916909681,151.690770291,0.0059213948,0.0056808664,0.0056646621,1.2709555638,2.8084476275,1.8219006703,0.000007198,3.77230488003894E-06,6.35308491340067E-06,24.2041069254,23.4053527689,22.5462656009,0.000601437,0.0006129454,0.0005869965,585.8387920585,547.810538237,508.3340925485,3.61726438490084E-07,3.75702012660351E-07,3.44564885509857E-07,-1,-1,-1,70246.0848974998,11297.5961152128,1,1,1,1,251,211,345,457,347,653,0.0628128128,0.0528028028,0.0863363363,0.0914914915,0.0694694695,0.1307307307,0.1051051051,0.0758258258,0.0963463463,420,303,385
76.5507158784,84.862967836,79.6348774207,0.0006007451,0.0005672953,0.0005348273,538.6871281029,536.0645535772,536.5369324847,0.0179972099,0.0152516391,0.0166232262,2.9801910386,1.0703959014,1.8292744871,6.52833717978777E-06,5.90387405340072E-06,5.77216060734002E-06,87.444385397,83.5104248667,85.5196050204,0.001041952,0.0010338433,0.0010345209,7646.5205374542,6973.9910614101,7313.6028428523,1.08566394223625E-06,1.06883187243762E-06,1.07023350068317E-06,-1,-1,-1,84840.7688353763,678.3664114833,1,1,1,1,74.9618686533,77.4506597302,74.6961600236,0.0005406017,0.0005524217,0.0004751949,711.2519302753,697.5917258008,702.9926274064,0.0634088855,0.0630090464,0.0628747906,0.6011478779,0.9055445023,0.5848797993,-2.27093773696112E-06,-2.08332070064481E-06,-2.0907117225559E-06,94.2444640838,92.3328279647,93.4039635466,0.0023553291,0.0025484202,0.0023627601,8882.0190104442,8525.3511199656,8724.3004062067,5.54757539838788E-06,6.49444530186099E-06,5.58263505893845E-06,-1,-1,-1,63854.1382319019,11602.2342150153,0.9811241611,0.9811241611,0.9840604027,0.9840604027,37.2982144347,41.1309172293,37.0710930701,0.0007254879,0.0007340508,0.0006976221,121.0945905899,134.3051498628,112.5202845198,0.0701435219,0.0707047045,0.070408571,1.7269758934,0.7170157685,1.1160878647,0.000011395,0.0000114,1.12063797302186E-05,21.4620853896,24.6195713899,22.2697383281,0.0023311203,0.0023566337,0.0023290469,460.6211092714,606.1232954248,495.9412452028,5.43412179303225E-06,5.5537225471374E-06,5.42445939475189E-06,-1,-1,-1,69088.7847883443,11360.2185758149,0.9947312961,0.9947312961,0.9957850369,0.9957850369,223,159,199,294,280,343,0.0558058058,0.0397897898,0.0497997998,0.0588588589,0.0560560561,0.0686686687,0.0633133133,0.045045045,0.0830830831,253,180,332
90.6016937853,91.9138304775,90.0322289333,0.001010025,0.0010119762,0.000948206,708.0182150026,710.4900306274,637.9096141764,0.0741046429,0.1232625188,0.1172859655,21.323451888,17.4558840902,19.3620808505,8.87169946926691E-07,7.27429500265814E-06,6.04550235798037E-06,102.5130787959,96.4410573696,97.8662084089,0.0034161683,0.0047043631,0.0045189632,10508.9313242052,9300.8775465599,9577.7947483369,1.16702057543864E-05,0.000022131,0.000020421,-1,-1,-1,93247.6839689188,7414.9374932249,0.9630411827,0.9630411827,0.9630411827,0.9630411827,53.0747548379,65.1606621349,57.9744463996,0.0007965004,0.0008518119,0.000730057,313.2135372914,445.0964560726,298.5575139281,0.0758141542,0.0974701236,0.0866171788,0.3340098033,3.3887605329,2.343880209,-9.69211389293167E-07,-1.17713027940168E-06,-0.000001069,38.1170524047,40.2513350662,37.6909985187,0.0032244553,0.0036190606,0.0033888924,1452.9096840241,1620.1699746133,1420.6113693342,1.03971121769324E-05,1.30975993541284E-05,1.1484591660552E-05,-1,-1,-1,65924.8871041485,13631.0382166749,0.9849119866,0.9849119866,0.9849119866,0.9849119866,60.2654591076,71.2977591634,64.5630264388,0.0007802996,0.0007474204,0.000673792,332.344859012,322.1599466428,320.5138863289,0.0839474947,0.0385554518,0.0391288569,1.3532656969,3.4062505401,0.8801237605,1.07362426221606E-05,1.44527322056471E-06,1.15292622718025E-05,51.1565561102,50.6232328291,50.4912985559,0.0028780914,0.0014852962,0.0014485235,2616.9932330601,2562.7117020682,2549.3712298597,8.28341015286131E-06,2.20610494374048E-06,2.09822036724482E-06,-1,-1,-1,61262.4274147471,11463.6649428688,0.9957894737,0.9957894737,0.9947368421,0.9947368421,1266,886,1224,2567,1778,2621,0.3168168168,0.2217217217,0.3063063063,0.5139139139,0.355955956,0.5247247247,0.2585085085,0.1914414414,0.3210710711,1033,765,1283
133.9659779174,109.3273721133,120.0711937076,0.0011137269,0.0009804598,0.0010213449,760.4729163587,713.7939963046,727.0585172704,0.1019750078,0.1025477966,0.1022369166,22.2771115681,4.4531040907,8.3917363562,1.64444396930114E-05,2.22249165515351E-06,1.40736123350823E-05,175.3672325944,168.271966994,172.1396601378,0.0049647556,0.0046125492,0.0049219607,30753.6662678067,28315.4548760307,29632.0625923519,2.46487984605829E-05,2.127560976404E-05,2.42256968818776E-05,-1,-1,-1,120273.53230399,26006.1239889911,0.9493670886,0.9493670886,0.9504219409,0.9504219409,73.3041198271,63.6982389674,60.6678563462,0.0008552946,0.0007958998,0.0008053661,836.6633458678,793.8839213964,815.0995475396,0.0594341452,0.059109063,0.0590664318,1.0124027211,0.767057082,0.7580275659,-1.76982498036576E-06,-0.000001459,-1.61320202544601E-06,91.6313277361,107.1539652781,88.3664748226,0.0033383389,0.0033423345,0.0036032687,8396.3002226873,11481.9722748295,7808.6338725716,1.11445068077999E-05,1.11711997836274E-05,1.29835451342786E-05,-1,-1,-1,92080.1522482691,27703.4234814219,0.9652428811,0.9652428811,0.979480737,0.979480737,81.4139282296,68.5939094744,72.869437978,0.0011132422,0.0011284283,0.0011103751,453.121671802,447.9801094374,446.3108449751,0.0669067627,0.0655897713,0.0662477581,2.960336367,2.6312462527,2.291083259,9.38862987999977E-06,2.84865612470938E-05,3.21221753936543E-05,54.0496989999,57.913385583,55.8068860109,0.0039152497,0.0038942628,0.0041259749,2921.3699619822,3353.9602296905,3114.4085262356,1.53291799390116E-05,1.5165282569102E-05,1.70236688299436E-05,-1,-1,-1,84371.319184837,16452.835912923,0.9852320675,0.9852320675,0.9883966245,0.9883966245,1148,644,814,2686,1537,2181,0.2872872873,0.1611611612,0.2037037037,0.5377377377,0.3077077077,0.4366366366,0.26001001,0.1664164164,0.2047047047,1039,665,818
116.9266487512,122.6503111319,117.2809353323,0.0009423369,0.0009123621,0.0009094159,743.9808250678,750.2086387747,746.7942545613,0.0631300318,0.021301036,0.0631926649,1.2792448973,1.7615007507,0.6826965648,3.28955210072092E-06,1.01054828765748E-05,2.48225234158041E-05,170.0468230672,174.5915619164,173.5612190274,0.0028621265,0.0021214046,0.0028949744,28915.9220352642,30482.2134924059,30123.4967502761,8.19176835564096E-06,4.50035752211072E-06,8.38087674539691E-06,-1,-1,-1,109514.212650019,98.869703733,0.9957805907,0.9957805907,1,1,40.6314841721,50.0352135812,41.9345993147,0.000482466,0.0005435859,0.000445198,336.5544682431,631.5523639041,346.003487899,0.0580368482,0.060684506,0.0593597744,0.3208889017,0.5642740761,0.6733226351,-4.24687687371109E-07,-3.26868443682233E-07,-3.56315915009977E-07,53.9982923244,60.2345437499,56.6304083368,0.0015301063,0.0016934478,0.0015554078,2915.8155739525,3628.2002607565,3207.0031483952,2.3412252024569E-06,2.86776534444314E-06,2.41929331297367E-06,-1,-1,-1,64867.7888160434,12375.9911476794,0.995385906,0.995385906,0.9987416107,0.9987416107,68.5829682311,73.2866095205,68.1747054836,0.0008609506,0.0007951717,0.0008177393,399.1004844101,459.5382247729,427.9865004692,0.0692572793,0.0699680489,0.0696125935,1.0157752217,2.944130447,0.3121026562,1.83423654412561E-05,1.24269347881758E-05,1.67535302975809E-05,70.0181848069,79.8821335006,75.8507153286,0.0027651317,0.0025344029,0.0028250511,4902.5462036542,6381.1552526131,5753.3310158629,0.000007646,6.42319787902863E-06,7.98091348550409E-06,-1,-1,-1,62038.8757775622,10391.6568664667,0.9978925184,0.9978925184,0.9989462592,0.9989462592,459,389,481,582,423,645,0.1148648649,0.0973473473,0.1203703704,0.1165165165,0.0846846847,0.1291291291,0.1821821822,0.1203703704,0.1458958959,728,481,583
70.1037505441,72.4129316858,69.4519983708,0.0014423549,0.0014784383,0.0014112061,394.9133165498,395.9362499259,395.0429328129,0.0965266721,0.0982750138,0.0973964609,0.890582221,1.3812943575,0.7610992495,3.55009833600738E-06,7.28732693726444E-06,5.28053984688769E-06,78.1413148768,80.3966977869,79.6768792809,0.0069871466,0.0072060718,0.0070484466,6106.0650906808,6463.6290150325,6348.4050919411,4.88202180713577E-05,5.19274713957788E-05,4.96805992299211E-05,-1,-1,-1,117644.949927417,33279.8693613922,0.8417721519,0.8417721519,0.8459915612,0.8459915612,117.3045396801,115.4316786474,113.6755241933,0.0013455107,0.0012392609,0.0011752097,1141.5451860291,1123.6180794815,1132.4807784277,0.1328327834,0.1349593079,0.1338960419,1.41775729,0.0681216725,0.6987003996,0.000005168,4.13665472288115E-06,6.37668488317057E-06,193.8677627814,191.585296343,191.3963225487,0.0081930476,0.0078915108,0.0078112465,37584.7094458817,36704.9257748276,36632.5522851605,0.000067126,6.22759431605136E-05,6.10155720968119E-05,-1,-1,-1,100089.326220925,46420.2975356829,0.8659405111,0.8659405111,0.8718056137,0.8718056137,101.5149061374,105.9352477625,102.318431197,0.0015339801,0.0016710079,0.0014905422,936.2529773084,937.1662704149,936.5903650135,0.0948693124,0.0955236,0.0951886675,1.8669752204,3.7486084407,2.418067197,1.05430559271363E-05,1.39187621997813E-05,6.64552469113243E-06,126.19780752,129.6433191891,127.1387693813,0.0071784065,0.0078841808,0.0072035524,15925.8866228429,16807.3902103578,16164.2666797906,5.15295192629834E-05,6.21603069157695E-05,5.18911676056995E-05,-1,-1,-1,121166.137643832,44710.5540940732,0.8610526316,0.8610526316,0.8673684211,0.8673684211,299,271,300,699,534,543,0.0748248248,0.0678178178,0.0750750751,0.1399399399,0.1069069069,0.1087087087,0.0880880881,0.0853353353,0.0920920921,352,341,368
62.3051834414,57.2546740365,57.2032461863,0.0014779327,0.0015598745,0.001908771,593.6895156278,589.7992097012,590.5960217894,0.0477569988,0.04676201,0.0484878415,1.7487165597,0.8491836798,0.3792912776,1.06018992633721E-05,9.74673855865364E-06,1.84093535618861E-05,85.0637379328,81.8054529617,84.1666213378,0.0055006369,0.0056168309,0.0066458168,7235.8395110948,6692.1321342724,7084.0201474288,0.000030257,3.15487893719217E-05,4.41668811981027E-05,-1,-1,-1,91531.0711876464,1749.7736095102,0.9747102213,0.9747102213,0.9546891465,0.9546891465,28.8358113596,27.4650808384,25.7640107435,0.0016493512,0.001144213,0.0017446507,300.5021403501,270.2115361591,283.6953292299,0.0683676729,0.0609215712,0.0674631391,0.3952332912,0.7072788371,0.481389879,-6.81412141192592E-07,-5.63596486461799E-07,-6.2230984419421E-07,29.4870746427,24.7751538977,27.4781697646,0.0072118035,0.0055030401,0.007526695,869.4875709869,613.808250655,755.0498136115,5.20101096206351E-05,3.02834499706415E-05,5.66511370744224E-05,-1,-1,-1,77735.7884344371,9568.933751903,0.9383906119,0.9383906119,0.9647946354,0.9647946354,40.6424045008,38.5714653776,37.0738058905,0.0022742248,0.0015418837,0.0022755143,338.9760974495,364.505756654,351.1741763862,0.0667063787,0.0477494432,0.0654233293,0.5643505162,1.4814935107,0.812656504,3.33273942172658E-06,2.34931080471719E-06,2.83311431921717E-06,45.5783303744,48.7060219698,47.3150582873,0.008188711,0.0055546482,0.0081582899,2077.3841997181,2372.2765761178,2238.714740734,0.000067055,3.085411658428E-05,6.65576944313123E-05,-1,-1,-1,85377.498577777,8463.1062160287,0.8786919831,0.8786919831,0.9672995781,0.9672995781,549,516,621,970,933,695,0.1373873874,0.1291291291,0.1554054054,0.1941941942,0.1867867868,0.1391391391,0.231981982,0.2014514515,0.2227227227,927,805,890
50.7573982505,42.0253521344,45.3693232736,0.0006666844,0.0006375172,0.0006232873,257.601326267,236.3458884048,246.2439703527,0.0614545898,0.0619633919,0.0617088315,5.1259768403,0.5549417955,2.3667579277,5.39771840544344E-06,5.44069280720446E-06,4.232073587891E-06,37.0936400512,38.2708579556,37.1851590735,0.0030185074,0.0030369744,0.0030261917,1375.9381322464,1464.6585686564,1382.7360553207,9.11138685583852E-06,9.22321368350948E-06,9.1578361650615E-06,-1,-1,-1,63631.0957670484,1164.2844134827,0.9957805907,0.9957805907,0.9957805907,0.9957805907,29.7257098733,26.1701643766,26.7083010703,0.0005150109,0.0004777118,0.0004632751,181.0299529886,106.9844441408,114.0136739255,0.0770899442,0.0632340705,0.0700957547,0.7610441698,0.7714677545,0.6125649614,-2.86749617514387E-07,-4.88247640320162E-07,-3.87406978623417E-07,15.3755455643,14.9583601805,14.6881476404,0.0028179446,0.0025968825,0.0026567135,236.4074014003,223.7525392886,215.7416811067,7.9408115606366E-06,6.74379879321216E-06,7.05812679015121E-06,-1,-1,-1,69785.1389760741,11770.4907947966,0.9941348974,0.9941348974,0.9932970256,0.9932970256,56.158405805,52.1211040675,53.8046064104,0.0008599958,0.0007897128,0.0008399103,258.8779750562,265.8198630326,261.9871125001,0.06957591,0.0700235587,0.0697991577,1.7953546379,4.3339036605,2.2938145651,2.1698566877764E-06,0.000001658,1.91353456637199E-06,40.4631778116,43.6790629191,41.8730912773,0.0037388847,0.003343329,0.0037525981,1637.2687586102,1907.8605374873,1753.3557731141,1.39792587750165E-05,1.11778488406589E-05,0.000014082,-1,-1,-1,64600.7413564708,9551.6253871724,0.9936842105,0.9936842105,0.9957894737,0.9957894737,450,213,214,417,218,274,0.1126126126,0.0533033033,0.0535535536,0.0834834835,0.0436436436,0.0548548549,0.0995995996,0.0620620621,0.0778278278,398,248,311
