zeitstempel blick_l_x blick_l_y pupillengroesse_l pos_auge_l_x pos_auge_l_y entf_auge_l blick_r_x blick_r_y pupillengroesse_r pos_auge_r_x pos_auge_r_y entf_auge_r
1203201996 676.210325628 217.101281439 4.14355672133 8.17693081418 -10.8628889368 618.558374216 0.0 0.0 4.06241120787 64.0755285106 -11.1672755886 602.114308862
1203228625 START:PursuitTask
1203213988 677.577725375 216.531180233 4.14490181667 8.29285855206 -11.0283547631 618.600989306 0.0 0.0 4.06262970694 64.0183391015 -11.3418954751 600.260132803
1203217986 677.852474306 215.279790083 4.15012194629 8.3388113477 -11.1029065942 618.38619059 0.0 0.0 4.06333018416 64.1325009582 -11.4063219648 601.042374626
1203221983 676.573286356 214.306568745 4.15486838192 8.39154540013 -11.1307471896 618.180151354 0.0 0.0 4.06353888292 64.3006172274 -11.4446908666 602.32003266
1203225981 677.085268421 214.182462724 4.1503568849 8.42443937322 -11.1649592442 617.84836475 0.0 0.0 4.06730657663 64.390446001 -11.4988520801 602.90270226
1203229979 677.40529823 214.281425015 4.1481764499 8.44623578937 -11.2312193444 617.621062026 0.0 0.0 4.07076246745 64.4001269901 -11.6060818196 602.69796423
1203233977 677.197179724 214.447805857 4.15159186683 8.48208228601 -11.2709178084 617.953801393 0.0 0.0 4.07148929838 64.3922411246 -11.6300492646 602.301422823
1203237975 677.449621344 214.261828551 4.1544630007 8.51041890599 -11.2919980003 617.721324686 0.0 0.0 4.07204482184 64.394396263 -11.6471053088 602.092460452
1203241973 679.368891133 213.390468195 4.15645182852 8.516655048 -11.3295711985 616.861179111 0.0 0.0 4.07084840018 64.3077969984 -11.6556246277 601.124775417
1203245971 679.29934739 213.714389079 4.15736301851 8.55340805501 -11.3908604914 616.904111833 0.0 0.0 4.07503941801 64.3476201783 -11.7045864828 601.139816104
1203249972 679.838814593 213.245155293 4.1598208188 8.58569400771 -11.408906354 616.776191345 0.0 0.0 4.07782213864 64.4538317724 -11.7547689041 601.935518925
1203253972 679.040121652 213.625173044 4.15937860308 8.61125485654 -11.4128037462 616.152927831 0.0 0.0 4.07967555261 64.5651974233 -11.7767449902 602.874027602
1203257972 678.510471408 214.812879975 4.15592277086 8.62465364798 -11.426538266 615.39203366 0.0 0.0 4.08427032716 64.6780914405 -11.8207220486 603.842121735
1203261973 677.058531945 216.233436053 4.15376608418 8.64879754192 -11.4497150128 615.363384959 0.0 0.0 4.09026540705 64.6987562883 -11.878584364 603.924195557
1203265973 677.304392141 217.615789889 4.15140654145 8.66650694205 -11.4634743332 615.465293633 0.0 0.0 4.09767384676 64.7267512787 -11.8857640187 604.080920301
1203269973 677.591548777 217.934220553 4.14770680096 8.68151006277 -11.4682457905 615.733363829 0.0 0.0 4.09748014333 64.7525093322 -11.8836150588 604.23371122
